SampleID	Desulfatiglans	AqS1	Sva0081_sediment_group	Nitrosopumilaceae	EPR3968-O8a-Bc78	BD2-11_terrestrial_group	NB1-j	Spirochaeta	SAR324_clade_Marine_group_B_	Calditrichaceae	SEEP-SRB1	Lokiarchaeia	bacteriap25	Bathyarchaeia	SBR1031	Desulfobacca	MBNT15	Woeseia	Marine_Benthic_Group_D_and_DHVEG-1	BD7-8	Candidatus_Thiobios	Bauldia	GIF3	Bacteroidetes_BD2-2	Candidatus_Tenderia	SG8-4	Latescibacteraceae	Subgroup_22	Zixibacteria	SAR202_clade	Dehalococcoidia	Pelagibius	Desulfatitalea	Pseudolabrys	Ignavibacterium	Amphiplicatus	t0.6.f	661239	Thiohalobacter	Kineosporia	Vicinamibacteraceae	Sva0485	vadinBA26	Subgroup_23	PHOS-HE36	B2M28	Calorithrix	Entotheonellaceae	Urania-1B-19_marine_sediment_group	MND1	Marine_Group_III	Desulfosarcina	BD7-11	JTB23	SB-5	CI75cm.2.12	Latescibacterota	67-14	CCM11a	Sediminispirochaeta	Oricola	BD1-7_clade	KI89A_clade	Brevundimonas	RCP2-54	Aminicenantales	Luteitalea	Rhodomicrobium	FW22	VHS-B3-70
S1A015	0.16956626506024097	0.14339759036144578	0.1475421686746988	0.08973493975903614	0.031445783132530124	0.0316144578313253	0.04231325301204819	0.02966265060240964	0.018481927710843372	0.01091566265060241	0.006771084337349398	0.01525301204819277	0.028963855421686748	0.012891566265060241	0	0	0.0027710843373493976	0.008530120481927712	0.007180722891566265	0.017686746987951807	0.01327710843373494	0.00691566265060241	0.006963855421686747	2.891566265060241e-4	0.0019518072289156627	0.003469879518072289	0.0023132530120481927	0.030433734939759035	0.0061445783132530124	0.01216867469879518	0.03195180722891566	0	0.002192771084337349	0.005421686746987952	0.005662650602409639	0.012771084337349397	0.0012530120481927711	4.8192771084337347e-4	0.00563855421686747	0.0020240963855421685	0.0020963855421686746	2.1686746987951806e-4	0.0010843373493975904	0.0015903614457831326	1.927710843373494e-4	0.004240963855421687	2.4096385542168674e-4	0	0.0024819277108433734	5.542168674698795e-4	0	1.4457831325301204e-4	6.987951807228916e-4	1.927710843373494e-4	0.002385542168674699	0.003108433734939759	0.003469879518072289	7.228915662650602e-5	8.91566265060241e-4	0.0021204819277108435	0.0011566265060240963	2.891566265060241e-4	7.228915662650603e-4	3.3734939759036143e-4	9.156626506024096e-4	6.265060240963856e-4	0	5.060240963855421e-4	0.0032048192771084337	4.096385542168675e-4
S1A1530	0.14467411894502383	0.10689231665938093	0.11906992235475343	0.06590478569495618	0.053269218759757694	0.03380586606715377	0.04567122546264493	0.022086221611607237	0.015549865734091051	0.010054330856179355	0.01394700139470014	0.043776931243364764	0.012593934095214305	0.015778846354004037	0.004121651158433773	9.367388996440392e-4	0.001831844959303899	0.008638814296717251	0.007160848477278878	0.035949957326339016	0.03846874414538188	0.005391452777951248	0.007056766377318429	7.910239596994109e-4	0.008222485896875456	0.0054330856179354275	0.0031640958387976438	0.009429838256416662	0.010824538395886676	0.007910239596994108	0.010470659256021149	0.0015820479193988219	0.004475530298299299	0.010137596536147713	0.007119215637294698	0.02262744853140157	0.001124086679572847	0.00868044713670143	0.0017902121193197195	0.0056828826578405045	0.001831844959303899	0.008493099356772622	0.0021649076791773352	8.534732196756802e-4	0.012843731135119382	0.00784779033701784	0.0013322508794937446	2.4979703990507713e-4	2.4979703990507713e-4	0.007681258977081122	8.118403796915007e-4	6.244925997626928e-5	0.0014987822394304628	0.0012906180395095652	0.005349819937967068	9.159224796519495e-4	0.0019567434792564374	4.5796123982597473e-4	0.0017693956993276297	0.0014571493994462832	0.0025812360790191304	0.0013530672994858345	5.412269197943338e-4	2.914298798892566e-4	9.159224796519495e-4	8.534732196756802e-4	7.077582797310519e-4	4.995940798101543e-4	8.742896396677699e-4	1.6653135993671808e-4
S1A3050	0.17001612345963377	0.09901531728665208	0.12343084187492802	0.057526200621904874	0.0800702522169757	0.04264079235287343	0.054963722215824025	0.02631578947368421	0.015000575837844064	0.010019578486698147	0.007341932511804676	0.022572843487273984	0.023148681331337094	0.028619140849936657	9.501324427041345e-4	0.0010365081193136013	0.001266843256938846	0.007082805481976276	0.007082805481976276	0.03247725440515951	0.007341932511804676	0.003109524357940804	0.004232408153863872	0.002476102729471381	0.0054128757341932515	0.006708510883335253	0.0045491189680985835	0.009904410917885523	0.014482321778187262	0.011056086606011747	0.006622135206725786	0.005441667626396407	0.004808245997926984	0.0028503973281124037	0.005297708165380628	0.006823678452147875	0.0024185189450650697	0.014367154209374641	0.005585627087412184	0.01364735690429575	0.0020154324542208915	0.004606702752504895	0.002188183807439825	0.0012956351491420015	0.005758378440631118	0.0013532189335483129	0.003195900034550271	9.789243349072902e-4	4.894621674536451e-4	0.004347575722676494	0.0010365081193136013	1.1516756881262236e-4	0.001900264885408269	0.0019578486698145804	0.00339744327997236	0.001410802717954624	0.0013532189335483129	0.001266843256938846	0.0031383162501439593	8.925486582978233e-4	0.004606702752504895	7.77381089485201e-4	6.622135206725785e-4	1.1516756881262236e-4	3.7429459864102266e-4	5.470459518599562e-4	1.7275135321893355e-4	5.758378440631119e-4	0.001324427041345157	4.318783830473339e-4
S1A5075	0.1608875128998968	0.13353973168214656	0.0957172342621259	0.07100103199174407	0.06217750257997936	0.04618163054695562	0.04324045407636739	0.020330237358101137	0.017905056759545925	0.005366357069143447	0.01568627450980392	0.021542827657378742	0.018808049535603714	0.03137254901960784	0.003173374613003096	0.0022703818369453044	0.002089783281733746	0.009236326109391124	0.006449948400412796	0.02678018575851393	0.008410732714138287	0.005830753353973169	0.00521155830753354	0.003431372549019608	0.008823529411764706	0.00456656346749226	0.00456656346749226	0.005469556243550051	0.012487100103199174	0.008333333333333333	0.005030959752321981	0.008952528379772963	0.00629514963880289	0.004437564499484004	0.008849329205366357	0.014035087719298246	0.002889576883384933	0.013364293085655315	0.0014705882352941176	0.018575851393188854	0.0012641898864809082	0.004437564499484004	0.0036635706914344684	0.0011609907120743034	0.010397316821465429	7.997936016511868e-4	0.005985552115583075	0.0021413828689370485	5.933952528379773e-4	0.004540763673890609	9.545923632610939e-4	1.2899896800825592e-4	0.002296181630546956	7.997936016511868e-4	0.0043343653250774	0.001651186790505676	0.0015737874097007225	0.001676986584107327	0.0014963880288957688	2.063983488132095e-4	0.0014189886480908153	5.159958720330237e-4	5.159958720330237e-4	0	3.869969040247678e-4	4.6439628482972134e-4	2.5799793601651185e-4	3.0959752321981426e-4	0.00077399380804953565	4.6439628482972134e-4
S1B07	0.2027976414502572	0.20199786726884958	0.12206749466817213	0.13495797265085938	0.03658574833772425	0.021295947810814203	0.01676389411617112	0.04321916948939907	0.03197528540960984	0.0060218291305984195	0.012686613975661775	0.0074488771797766905	0.024902772550495545	0.002948187178522143	8.311378747961359e-4	9.565926483502698e-4	0.003042278258687743	0.014301844185171246	0.004924099861999749	0.007746832266967758	0.011620248400451637	0.009032743695897629	0.0066491029983690875	0.0016465939028980053	0.0051279638690252165	0.004077280140509346	0.0026659139380253417	0.006852967005394555	0.0038577342867896123	0.0040615982938150795	3.2931878057960106e-4	1.7250031363693388e-4	0.004563417388031615	0.005002509095471083	4.8613724752226824e-4	0.0013172751223184042	1.5681846694266718e-4	9.252289549617363e-4	0.0023993225442228076	0.003214778572324677	0.0032461422657132106	9.879563417388032e-4	0.0012388658888470706	0.0030893237987705434	0.0013015932756241374	0.001489775435955338	0.001944548990089073	4.234098607452014e-4	6.115920210764019e-4	2.038640070254673e-4	6.743194078534688e-4	0	0.0011761385020700038	0.001489775435955338	3.763643206624012e-4	0.0010820474219044034	2.509095471082675e-4	6.115920210764019e-4	0.0010663655752101368	2.979550871910676e-4	0	1.4113662024840045e-4	0.001380002509095471	5.01819094216535e-4	2.665913938025342e-4	0.0012859114289298708	7.840923347133359e-5	0.0011447748086814704	0.0012545477355413374	7.527286413248024e-4
S1B2230	0.16449645308705713	0.10745903363353028	0.09939004569877054	0.07625384806592861	0.059561368286200504	0.04061263121665806	0.029637277959425612	0.034723417273752846	0.03281133482475764	0.021644773322625672	0.023155318457331882	0.020803457045067784	0.00990458708579514	0.02678827511042276	0.0280884911757395	0.023384768351211303	0.028815082506357673	0.009025029159257347	0.013097764775617124	0.0010707661714373124	0.007514484024551139	0.0067687718694430105	0.011319528098051588	0.012983039828677413	0.003174056865332033	0.0017973575020554886	0.00504789766534733	0.0011663702938870724	0.0021415323428746248	0.0020268073959349127	0.006252509608214306	0.00858525019598845	0.008298437828639172	0.0036138358286009293	0.0033843859347215052	0.0018164783265454407	0.007304154955161667	0.002944606971452609	3.250540163291841e-4	0.0015296659591961606	0.0024474655347138568	0.002925486146962657	0.0020076865714449606	0.0012619744163368325	0.0024474655347138568	0	0.0013002160653167365	0.0033843859347215052	0.0014531826612363525	0.0019120824489952007	0.0013002160653167365	0.0011854911183770244	4.7802061224880017e-4	0.012026998604179813	0.0018738408000152967	0.0019120824489952007	0.0012619744163368325	0.0013958201877664965	0.0011090078204172163	0.0016061492571559685	0.0019885657469550086	0.0010516453469473603	5.927455591885122e-4	1.9120824489952007e-4	5.353830857186562e-4	8.604371020478403e-4	0.0016061492571559685	4.971414367387521e-4	1.5296659591961605e-4	5.162622612287042e-4
S1B3040	0.18404029099048685	0.1480246222719642	0.09750419697817571	0.09947397873531058	0.04199216564073867	0.023547845551203133	0.029972020145495243	0.03570229434806939	0.02813654168998321	0.06569669837716843	0.01600447677672076	0.001119194180190263	0.004857302742025741	0.00991606043648573	0.020928931169557918	0.021085618354784556	0.048908785674314496	0.010184667039731393	0.021331841074426414	6.267487409065473e-4	0.008841634023503077	0.007879127028539452	0.00429770565193061	0.007588136541689983	0.002327923894795747	9.40123111359821e-4	0.0036485730274202575	4.476776720761052e-5	0.002484611080022384	0.002350307778399552	0.005842193620593173	0.0027979854504756574	0.0012982652490207052	0.003782876329043089	9.40123111359821e-4	6.715165081141578e-5	0.005551203133743705	8.953553441522104e-5	4.476776720761052e-4	0	0.003200895355344152	0.0018354784555120313	0.0019250139899272523	0.0017011751538891999	6.267487409065473e-4	0	0.0010520425293788472	0.00344711807498601	1.119194180190263e-4	1.119194180190263e-4	1.3430330162283156e-4	0.00302182428651371	4.2529378847229997e-4	5.595970900951316e-4	0	3.357582540570789e-4	3.1337437045327363e-4	8.953553441522104e-4	5.819809736989368e-4	0.0026189143816452154	3.805260212646894e-4	4.476776720761052e-4	6.043648573027421e-4	2.4622271964185787e-4	0.0014549524342473419	4.924454392837157e-4	0.0016116396194739788	9.848908785674315e-4	6.715165081141578e-5	5.372132064913262e-4
S1B6575	0.15339313219171877	0.09087614387967745	0.0939113889643925	0.06113527226601431	0.06029718220530941	0.03386336866902238	0.04894898976171061	0.027362507927878952	0.019004258403551688	0.05266376732807828	0.015266829754462263	0.004099845972637492	0.015810455739784363	0.017146869620367853	0.03979795234212195	0.03957144151490441	0.05794146960224699	0.007701368125396394	0.03012594001993295	9.513454743136721e-4	0.005866630424934312	0.006636767237473951	0.014292833197426837	0.00806378544894446	0.003578871070037148	0.002061248527679623	0.004167799220802754	7.927878952613935e-4	0.002559572347558213	0.004099845972637492	0.0060251880039865905	0.01028359155567636	0.0030578961674368036	0.0017214822868533116	0.008267645193440247	4.303705717133279e-4	0.012684606324182297	0.0012458095496964755	2.944640753828033e-4	6.115792334873607e-4	0.0021518528585666393	0.0012458095496964755	0.0021971550240101477	8.154389779831476e-4	0.0016535290386880492	2.038597444957869e-4	6.568813989308689e-4	0.0032617559119325905	7.701368125396393e-4	6.342303162091148e-4	3.397662408263115e-4	0.0051644468605599346	6.115792334873607e-4	5.889281507656066e-4	4.53021654435082e-4	0.0013137627978617378	5.209749026003443e-4	0.0015402736250792787	0.0012005073842529673	0.002446316933949443	0.0012684606324182297	4.077194889915738e-4	9.28694391591918e-4	4.53021654435082e-5	4.303705717133279e-4	4.53021654435082e-4	0.001359064963305246	2.038597444957869e-4	2.944640753828033e-4	2.26510827217541e-4
S2A1727	0.1390963358893024	0.08219896595649025	0.11099732747208832	0.054699403052176736	0.06616379848640008	0.03359392561880261	0.03751529834902715	0.02857356944826036	0.013062916801958188	0.0353423083647626	0.04041261832804656	0.023203536728526115	0.01198891025801134	0.04795564103204536	0.036091615255888304	0.030271998401478633	0.028448684966406075	0.006294177885455953	0.017833504008791867	0.001273821714913705	0.0067187851237605215	0.0060444089217473835	0.01059020406124335	0.014186877138646753	0.009740989584634213	0.001698428953218273	0.0062442240927142395	0.0014236830931388465	0.0013737293003971327	0.0026725279116816946	0.004745610310462822	0.017458850563229013	0.007443115118515373	0.0016484751604765593	0.00631915478182681	1.248844818542848e-4	0.003396857906436546	0.002897319979019407	3.246996528211404e-4	3.496765491919974e-4	0.002847366186277693	0.004770587206833679	0.0018732672278142719	9.740989584634213e-4	0.004171141693933112	0	0.002772435497165122	0.0020980592951519842	9.491220620925644e-4	0.0021230361915228414	0.005769663061667957	0.002947273771761121	9.491220620925644e-4	1.248844818542848e-4	0.0011239603366885631	0.0024727127407148386	0.001673452056847416	0.0014986137822514175	0.0014486599895097035	0.001698428953218273	2.7474586007942653e-4	0.0014236830931388465	6.743762020131378e-4	4.9953792741713915e-5	0.0013487524040262757	3.496765491919974e-4	0.002422758947973125	3.246996528211404e-4	0	4.2460723830456827e-4
S2A3545	0.1937549525624826	0.1565545156661598	0.11346454500674619	0.1142355385175508	0.03212472961685906	0.031225237187587004	0.031011072323474612	0.04111965390957959	0.030282911785492472	0.02282997451438117	0.016212280213308203	0.009102006724776733	0.0053327051163986035	0.013706551303193199	0.013942132653716832	0.01940333668858287	0.012036065363116527	0.01090099158332084	0.005504037007688519	0.0012849891846743622	0.009273338616066648	0.010151414558927463	0.011907566444649091	0.007410104298288823	0.0021416486411239373	0.0011350737797956867	0.003919217013256805	0.007410104298288823	0.0032553059345083847	0.004004882958901762	0.006317863491315615	0.0021416486411239373	0.0020345662090677404	0.0042832972822478745	0.005653952412567194	4.711627010472662e-4	0.0023986464780588095	8.994924292720537e-4	0.003298138907330863	4.069132418135481e-4	0.003340971880153342	8.352429700383355e-4	0.0023772299916475703	0.0034908872850320178	6.210781059259418e-4	0.0012207397254406442	7.924099972158568e-4	0.0011779067526181655	9.851583749170111e-4	0.0018846508041890648	0.0013064056710856017	0.002291564046002613	0.001263572698263123	7.49577024393378e-4	3.6408026899106935e-4	0.002634227828582443	7.924099972158568e-4	5.782451331034631e-4	0.001499154048786756	0.0011136572933844473	9.851583749170111e-4	0.0010279913477394898	6.424945923371811e-4	2.1416486411239373e-4	4.711627010472662e-4	9.20908915683293e-4	0.0011564902662069261	0.0010065748613282506	0.0010279913477394898	6.853275651596599e-4
