SampleID	Desulfatiglans	AqS1	Sva0081_sediment_group	NB1-j	EPR3968-O8a-Bc78	BD2-11_terrestrial_group	Spirochaeta	Lokiarchaeia	Calditrichaceae	SAR324_clade_Marine_group_B_	SEEP-SRB1	Bathyarchaeia	bacteriap25	SBR1031	MBNT15	Desulfobacca	Bacteroidetes_BD2-2	B2M28	Woeseia	BD7-8	Marine_Benthic_Group_D_and_DHVEG-1	Pelagibius	Bauldia	Calorithrix	Zixibacteria	Candidatus_Tenderia	S085	SB-5	MND1	Dehalococcoidia	Subgroup_18	Desulfatitalea	Pseudolabrys	GIF3	Subgroup_22	SAR202_clade	AT-s3-44	Ignavibacterium	t0.6.f	661239	Thiohalobacter	Vicinamibacteraceae	Sva0485	SG8-4	Subgroup_23	vadinBA26	Candidatus_Thiobios	Sediminispirochaeta	Urania-1B-19_marine_sediment_group	Entotheonellaceae	MBMPE27	KI89A_clade	SPG12-461-471-B8	JTB23	Caldithrix	Aminicenantales	Methyloceanibacter	OM190	Haliangium	RCP2-54	UASB-TL25	Latescibacterota	Pla3_lineage	MD2902-B12
S5B1522	7684	6159	6683	1535	1760	1701	1358	950	265	704	418	548	1696	157	120	47	569	218	412	502	272	194	162	1266	165	374	141	371	183	308	89	186	150	120	231	126	124	103	82	148	102	104	6	167	124	141	65	99	129	31	43	46	37	22	50	48	15	3	21	22	12	19	12	16
S5B3040	10360	5174	8399	3300	3948	2186	1765	1302	639	803	1624	1867	2214	826	648	700	1329	479	485	1134	640	725	187	1372	405	558	895	603	512	320	238	450	131	227	243	294	376	240	188	316	155	201	76	462	148	188	192	101	219	40	50	72	177	85	89	43	68	26	53	41	13	27	29	33
S5B5060	7253	5190	5285	2862	3052	1299	2282	408	421	2004	1453	924	383	1802	534	1907	532	249	444	692	1521	353	170	210	167	125	658	249	310	505	65	153	133	57	143	128	16	119	656	74	29	45	28	175	76	138	123	199	608	13	25	37	90	75	164	55	91	26	36	21	28	18	9	58
S6A07	9838	6312	6352	2494	2528	1483	1287	764	1924	716	691	462	238	688	108	249	1571	558	461	844	486	184	620	0	425	230	264	544	5	5	308	265	155	175	102	397	106	10	17	30	762	72	0	126	122	144	29	72	36	37	33	199	13	151	141	58	16	15	33	18	29	37	31	54
S6A1522	5592	4322	3906	1862	2696	2024	938	937	2754	776	375	698	216	602	106	59	1219	1488	354	419	335	165	632	6	631	29	263	778	8	24	542	84	119	215	270	316	38	44	202	134	379	261	22	80	149	163	10	50	0	134	171	304	10	29	79	45	15	495	31	12	36	29	0	3
S6A3040	8248	8179	5898	1808	1985	1661	1628	1493	655	1259	617	548	123	546	192	1450	270	1791	672	275	553	534	571	28	471	29	171	198	23	58	383	52	193	380	59	243	68	166	119	407	123	150	45	61	293	144	13	63	0	122	210	43	17	7	28	78	9	20	35	4	67	42	14	5
S6B07	14345	11648	8935	2725	2417	1824	2928	1666	749	1406	1094	360	230	403	234	607	829	37	865	1413	304	274	405	0	325	288	226	263	0	11	398	202	261	102	272	174	74	0	0	27	657	76	0	156	156	118	55	140	28	6	84	118	0	248	124	76	41	0	31	30	42	57	57	128
S6B1522	9031	7143	6559	2321	1657	1823	1743	1883	2040	952	478	754	191	797	136	9	307	883	589	640	259	205	861	0	333	133	150	445	12	9	190	240	160	201	289	163	43	30	38	73	531	96	16	43	88	90	33	34	30	62	61	265	5	78	99	65	10	161	72	13	62	26	0	4
S6B3040	7083	6424	4820	2168	2384	1444	1395	906	1764	963	548	541	189	504	204	91	738	1414	546	566	372	389	567	17	612	69	568	280	2	9	266	94	186	237	348	115	91	89	41	103	381	105	29	74	113	203	18	50	22	196	172	99	3	50	37	54	19	197	47	68	30	32	0	5
S7A07	9336	5638	5480	1917	2107	2236	1751	330	344	684	837	676	250	173	113	65	897	17	421	2151	321	145	287	0	240	662	38	332	8	44	283	139	232	310	230	108	329	0	5	22	283	26	0	96	87	90	37	33	39	10	44	9	0	86	78	44	16	0	28	11	57	33	53	34
S7A1522	4765	3569	4187	2273	2735	1969	736	977	1635	462	256	674	60	549	190	405	536	2189	342	393	257	185	379	3	631	67	319	426	28	80	743	59	116	373	246	82	227	161	146	89	450	80	169	138	164	171	14	73	14	193	426	106	308	35	70	35	11	14	21	105	43	15	4	9
S7A3040	6952	5605	4984	3212	4150	2660	1275	2449	1479	861	514	1009	132	413	216	1412	347	2069	373	454	638	296	914	54	774	104	331	385	60	178	695	88	138	318	183	94	451	225	163	337	127	201	438	115	133	210	5	133	29	182	684	106	19	38	117	54	21	22	32	51	90	20	21	4
S7A5060	2424	1645	1718	774	1251	740	324	662	334	217	197	335	238	739	316	1187	81	461	129	16	582	214	352	21	98	24	133	57	24	17	170	32	31	46	49	10	69	31	31	96	37	30	179	45	28	52	3	53	6	19	144	6	6	2	55	17	10	23	7	0	25	11	2	0
S7B07	7259	5563	4322	1776	1346	1603	1383	433	152	479	498	319	201	290	90	86	461	7	394	1059	197	120	168	0	185	300	47	328	5	0	281	47	175	155	68	67	80	2	0	0	218	33	0	135	79	25	8	7	8	2	38	0	0	52	122	51	15	5	28	28	22	51	51	61
S7B1522	6929	4755	5241	2381	1979	2262	1401	814	922	701	471	500	107	749	186	296	519	723	374	1086	364	149	339	7	361	243	180	344	19	10	451	157	147	257	196	159	166	110	56	89	535	59	27	215	109	101	9	29	11	51	156	150	30	62	89	44	11	0	37	23	67	34	32	46
S7B3040	10241	9795	7022	2476	3200	2636	1932	2261	1327	1462	641	1096	130	663	298	1035	328	2006	645	671	428	372	767	12	476	126	133	546	26	165	679	119	265	387	81	161	130	139	91	102	201	136	115	72	198	42	9	71	10	33	260	92	36	25	77	50	20	26	96	14	97	41	9	10
S7B5060	8665	7870	5490	1704	2459	1915	1376	1301	818	1143	679	627	104	747	642	1332	256	1263	614	258	382	272	736	35	412	54	157	225	15	31	350	103	202	161	59	113	91	81	41	131	134	70	219	51	114	76	6	103	13	40	263	41	22	37	48	50	13	19	64	21	55	19	5	10
zr2502_24_R1	157	235	478	189	238	137	33	170	171	0	145	39	0	0	5	0	51	71	138	185	15	171	113	53	0	109	24	39	59	46	0	7	12	0	12	0	0	13	52	54	0	20	2	39	0	0	33	14	0	0	24	23	18	0	0	0	0	0	0	4	0	0	0	15
zr2502_25_R1	296	630	468	289	141	149	68	209	126	295	132	118	311	57	29	100	66	137	49	101	0	49	42	75	64	8	10	0	33	0	17	7	0	0	0	0	92	12	0	0	15	16	28	13	32	3	0	12	28	0	0	0	0	13	0	14	0	0	0	0	5	14	0	0
zr2502_26_R1	552	1378	692	163	316	217	345	465	74	845	209	229	416	380	83	406	138	147	78	146	81	223	0	41	35	43	319	11	19	0	15	38	0	67	43	0	92	22	0	12	0	38	90	15	40	0	32	0	0	0	0	0	16	11	23	23	5	32	22	0	7	56	2	0
zr2502_27_R1	70	280	281	88	128	23	21	64	23	0	42	16	0	0	0	0	63	14	34	33	0	27	21	0	0	0	3	28	0	11	4	0	7	0	0	0	0	0	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zr2502_28_R1	303	945	447	118	67	166	78	224	67	281	90	119	117	101	2	67	51	103	5	74	10	12	56	85	47	10	12	0	17	0	33	70	0	0	0	0	49	0	10	0	14	0	17	0	20	0	0	0	0	0	0	0	0	13	0	29	0	0	0	0	9	0	0	0
zr2502_29_R1	238	1184	252	55	131	137	206	274	0	494	118	141	77	59	24	150	56	54	10	37	24	8	0	0	36	37	40	5	25	0	6	19	4	32	14	0	63	27	0	0	0	25	19	11	16	0	0	0	0	12	0	0	5	0	0	9	0	21	0	0	0	0	0	0
zr2502_30_R1	250	379	482	272	323	242	46	264	124	0	137	77	0	23	14	0	160	212	113	194	23	112	100	18	0	121	22	110	29	65	0	13	24	0	15	17	0	18	76	25	0	16	6	0	0	0	0	12	0	19	11	65	0	0	12	0	6	0	0	6	0	0	0	18
zr2502_31_R1	248	674	579	334	165	81	67	210	145	50	217	141	193	30	46	68	75	535	83	133	0	66	55	44	40	11	8	39	15	11	0	0	8	0	31	0	56	0	55	17	0	7	10	0	8	5	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0	0	3	0
zr2502_32_R1	416	737	559	120	181	210	235	353	31	272	78	148	106	110	167	328	113	81	41	84	65	57	0	0	112	200	20	29	36	0	0	15	0	90	14	35	161	17	0	0	20	10	42	18	24	0	0	9	26	0	0	0	0	6	23	0	5	0	28	0	0	17	0	0
