SampleID	Collection_date	depth	ID	Environmental_medium	Geographic.Location	Study_zone	Ecological_type	season	Mangrove.system	Depths	sample_id_original	sample_id_clean	network_group	network_dataset	network_label	network_system	network_zone	depth_class_raw	depth_class	depth_raw	metadata_sample_id_original	matrix_sample_id	network_comparison	network_group_canonical
S3A1522	2023-09-28	16-30	S3A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	mid	S3A1522	S3A1522	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	mid	Mid	16-30	S3A1522	S3A1522	Interior_relict vs Coastal_natural	Interior_relict
S3A3040	2023-09-28	31-45	S3A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S3A3040	S3A3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	31-45	S3A3040	S3A3040	Interior_relict vs Coastal_natural	Interior_relict
S3A6070	2023-09-28	50-70	S3A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S3A6070	S3A6070	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	50-70	S3A6070	S3A6070	Interior_relict vs Coastal_natural	Interior_relict
S3B2030	2023-09-28	16-30	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	mid	S3B2030	S3B2030	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	mid	Mid	16-30	S3B2030	S3B2030	Interior_relict vs Coastal_natural	Interior_relict
S3B3545	2023-09-28	31-45	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S3B3545	S3B3545	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	31-45	S3B3545	S3B3545	Interior_relict vs Coastal_natural	Interior_relict
S3B515	2023-09-28	0-15	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Surface	S3B515	S3B515	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Surface	Surface	0-15	S3B515	S3B515	Interior_relict vs Coastal_natural	Interior_relict
S3B6070	2023-09-28	50-70	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S3B6070	S3B6070	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	50-70	S3B6070	S3B6070	Interior_relict vs Coastal_natural	Interior_relict
S4B07	2023-09-29	0-15	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Surface	S4B07	S4B07	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Surface	Surface	0-15	S4B07	S4B07	Interior_relict vs Coastal_natural	Interior_relict
S4B1522	2023-09-29	16-30	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	mid	S4B1522	S4B1522	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	mid	Mid	16-30	S4B1522	S4B1522	Interior_relict vs Coastal_natural	Interior_relict
S4B3040	2023-09-29	31-45	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S4B3040	S4B3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	31-45	S4B3040	S4B3040	Interior_relict vs Coastal_natural	Interior_relict
S4B5565	2023-09-29	50-70	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S4B5565	S4B5565	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	50-70	S4B5565	S4B5565	Interior_relict vs Coastal_natural	Interior_relict
S5A07	2023-09-29	0-15	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Surface	S5A07	S5A07	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Surface	Surface	0-15	S5A07	S5A07	Interior_relict vs Coastal_natural	Interior_relict
S5A1522	2023-09-29	16-30	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	mid	S5A1522	S5A1522	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	mid	Mid	16-30	S5A1522	S5A1522	Interior_relict vs Coastal_natural	Interior_relict
S5A3040	2023-09-29	31-45	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S5A3040	S5A3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	31-45	S5A3040	S5A3040	Interior_relict vs Coastal_natural	Interior_relict
S5A5565	2023-09-29	50-70	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S5A5565	S5A5565	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	50-70	S5A5565	S5A5565	Interior_relict vs Coastal_natural	Interior_relict
S5B07	2023-09-29	0-15	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Surface	S5B07	S5B07	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Surface	Surface	0-15	S5B07	S5B07	Interior_relict vs Coastal_natural	Interior_relict
S5B1522	2023-09-29	16-30	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	mid	S5B1522	S5B1522	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	mid	Mid	16-30	S5B1522	S5B1522	Interior_relict vs Coastal_natural	Interior_relict
S5B3040	2023-09-29	31-45	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S5B3040	S5B3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	31-45	S5B3040	S5B3040	Interior_relict vs Coastal_natural	Interior_relict
S5B5060	2023-09-29	50-70	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S5B5060	S5B5060	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	50-70	S5B5060	S5B5060	Interior_relict vs Coastal_natural	Interior_relict
S6A07	2023-09-30	0-15	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Surface	S6A07	S6A07	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Surface	Surface	0-15	S6A07	S6A07	Interior_relict vs Coastal_natural	Interior_relict
S6A1522	2023-09-30	16-30	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	mid	S6A1522	S6A1522	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	mid	Mid	16-30	S6A1522	S6A1522	Interior_relict vs Coastal_natural	Interior_relict
S6A3040	2023-09-30	31-45	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Deep	S6A3040	S6A3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	31-45	S6A3040	S6A3040	Interior_relict vs Coastal_natural	Interior_relict
S6B07	2023-09-30	0-15	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Surface	S6B07	S6B07	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Surface	Surface	0-15	S6B07	S6B07	Interior_relict vs Coastal_natural	Interior_relict
S6B1522	2023-09-30	16-30	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	mid	S6B1522	S6B1522	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	mid	Mid	16-30	S6B1522	S6B1522	Interior_relict vs Coastal_natural	Interior_relict
S6B3040	2023-09-30	31-45	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Deep	S6B3040	S6B3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	31-45	S6B3040	S6B3040	Interior_relict vs Coastal_natural	Interior_relict
S7A07	2023-09-30	0-15	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Surface	S7A07	S7A07	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Surface	Surface	0-15	S7A07	S7A07	Interior_relict vs Coastal_natural	Interior_relict
S7A1522	2023-09-30	16-30	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	mid	S7A1522	S7A1522	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	mid	Mid	16-30	S7A1522	S7A1522	Interior_relict vs Coastal_natural	Interior_relict
S7A3040	2023-09-30	31-45	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Deep	S7A3040	S7A3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	31-45	S7A3040	S7A3040	Interior_relict vs Coastal_natural	Interior_relict
S7A5060	2023-09-30	50-70	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Deep	S7A5060	S7A5060	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	50-70	S7A5060	S7A5060	Interior_relict vs Coastal_natural	Interior_relict
S7B07	2023-09-30	0-15	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Surface	S7B07	S7B07	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Surface	Surface	0-15	S7B07	S7B07	Interior_relict vs Coastal_natural	Interior_relict
S7B1522	2023-09-30	16-30	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	mid	S7B1522	S7B1522	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	mid	Mid	16-30	S7B1522	S7B1522	Interior_relict vs Coastal_natural	Interior_relict
S7B3040	2023-09-30	31-45	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Deep	S7B3040	S7B3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	31-45	S7B3040	S7B3040	Interior_relict vs Coastal_natural	Interior_relict
S7B5060	2023-09-30	50-70	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Deep	S7B5060	S7B5060	Interior_relict	depth_natural	Interior relicto vs Términos natural	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	50-70	S7B5060	S7B5060	Interior_relict vs Coastal_natural	Interior_relict
zr2502_11_R1	17/01/2018	20	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	mid	zr2502_11_R1.fastq.gz	zr2502_11_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	mid	Mid	20	zr2502_11_R1.fastq.gz	zr2502_11_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_12_R1	17/01/2018	40	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Deep	zr2502_12_R1.fastq.gz	zr2502_12_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	Deep	Deep	40	zr2502_12_R1.fastq.gz	zr2502_12_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_13_R1	17/01/2018	40	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Deep	zr2502_13_R1.fastq.gz	zr2502_13_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	Deep	Deep	40	zr2502_13_R1.fastq.gz	zr2502_13_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_14_R1	17/01/2018	5	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Surface	zr2502_14_R1.fastq.gz	zr2502_14_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	Surface	Surface	5	zr2502_14_R1.fastq.gz	zr2502_14_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_1_R1	17/01/2018	5	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Surface	zr2502_1_R1.fastq.gz	zr2502_1_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	Surface	Surface	5	zr2502_1_R1.fastq.gz	zr2502_1_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_33_R1	30/05/2018	20	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	mid	zr2502_33_R1.fastq.gz	zr2502_33_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	mid	Mid	20	zr2502_33_R1.fastq.gz	zr2502_33_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_34_R1	30/05/2018	40	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Deep	zr2502_34_R1.fastq.gz	zr2502_34_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	Deep	Deep	40	zr2502_34_R1.fastq.gz	zr2502_34_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_35_R1	30/05/2018	20	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	mid	zr2502_35_R1.fastq.gz	zr2502_35_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	mid	Mid	20	zr2502_35_R1.fastq.gz	zr2502_35_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_36_R1	30/05/2018	40	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Deep	zr2502_36_R1.fastq.gz	zr2502_36_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	Deep	Deep	40	zr2502_36_R1.fastq.gz	zr2502_36_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_37_R1	30/05/2018	5	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Surface	zr2502_37_R1.fastq.gz	zr2502_37_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	Surface	Surface	5	zr2502_37_R1.fastq.gz	zr2502_37_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_38_R1	30/05/2018	20	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	mid	zr2502_38_R1.fastq.gz	zr2502_38_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	mid	Mid	20	zr2502_38_R1.fastq.gz	zr2502_38_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_39_R1	30/05/2018	40	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	Deep	zr2502_39_R1.fastq.gz	zr2502_39_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	Deep	Deep	40	zr2502_39_R1.fastq.gz	zr2502_39_R1	Interior_relict vs Coastal_natural	Coastal_natural
zr2502_3_R1	17/01/2018	20	NA	sediment	Mexico:Campeche	Estero_pargo	Fringe	flood	Términos Lagoon	mid	zr2502_3_R1.fastq.gz	zr2502_3_R1	Coastal_natural	depth_natural	Interior relicto vs Términos natural	Términos Lagoon	Estero_pargo	mid	Mid	20	zr2502_3_R1.fastq.gz	zr2502_3_R1	Interior_relict vs Coastal_natural	Coastal_natural
