SampleID	Desulfatiglans	AqS1	Sva0081_sediment_group	Nitrosopumilaceae	EPR3968-O8a-Bc78	BD2-11_terrestrial_group	NB1-j	Spirochaeta	SAR324_clade_Marine_group_B_	Calditrichaceae	SEEP-SRB1	Lokiarchaeia	bacteriap25	Bathyarchaeia	SBR1031	Desulfobacca	MBNT15	Woeseia	Marine_Benthic_Group_D_and_DHVEG-1	BD7-8	Candidatus_Thiobios	Bauldia	GIF3	Bacteroidetes_BD2-2	Candidatus_Tenderia	SG8-4	Latescibacteraceae	Subgroup_22	Zixibacteria	SAR202_clade	Dehalococcoidia	Pelagibius	Desulfatitalea	Pseudolabrys	Ignavibacterium	Amphiplicatus	t0.6.f	661239	Thiohalobacter	Kineosporia	Vicinamibacteraceae	Sva0485	vadinBA26	Subgroup_23	PHOS-HE36	B2M28	Calorithrix	Entotheonellaceae	Urania-1B-19_marine_sediment_group	MND1	Marine_Group_III	Desulfosarcina	BD7-11	JTB23	SB-5	CI75cm.2.12	Latescibacterota	67-14	CCM11a	Sediminispirochaeta	Oricola	BD1-7_clade	KI89A_clade	Brevundimonas	RCP2-54	Aminicenantales	Luteitalea	Rhodomicrobium	FW22	VHS-B3-70
S3A3040	5118	3958	2434	2799	1160	1131	2982	959	592	715	1032	28	55	716	1130	819	268	301	248	47	246	223	274	150	32	69	133	38	161	82	51	291	131	130	54	10	250	265	11	16	90	119	67	30	18	24	35	23	7	35	0	274	25	36	52	23	17	33	83	44	5	37	19	4	7	27	61	20	26	12
S3A6070	2971	3158	2114	4230	563	934	4918	1092	939	503	633	8	22	33	972	235	75	400	199	18	448	327	596	32	112	17	107	0	52	54	7	26	40	77	3	0	48	0	18	0	138	42	0	64	2	3	14	3	0	0	2	205	19	16	0	0	0	0	65	9	0	0	34	18	5	7	35	29	10	22
S3B2030	9478	6518	6502	4255	2305	1798	1435	1531	1276	2130	1655	371	546	931	1749	1936	1947	481	475	43	410	320	484	658	204	72	298	17	97	229	238	398	165	186	220	6	144	55	16	0	141	112	70	108	98	0	88	107	52	13	88	110	62	13	5	108	51	56	43	58	31	69	39	10	101	35	68	30	5	24
S3B3545	8686	6792	7328	4967	1700	1282	1080	2254	1406	1636	1298	231	407	676	1556	955	1700	759	329	21	392	413	382	546	211	84	224	34	517	154	218	401	143	170	183	2	157	32	10	7	139	48	54	70	55	0	65	185	26	20	45	72	31	9	3	76	37	47	43	32	27	62	45	13	78	45	66	40	2	39
S3B515	5683	3909	4337	2754	1514	1085	954	1098	654	1542	860	331	449	534	904	688	775	293	285	18	229	230	270	416	176	64	176	42	98	67	110	150	99	87	111	18	88	53	11	9	31	99	72	33	29	11	12	67	67	24	38	67	23	14	10	95	23	36	33	57	32	40	35	10	106	23	61	20	0	27
S3B6070	23895	19735	14158	11854	9170	3176	3858	5170	4366	3867	2515	174	885	1841	3183	3392	3913	1441	1650	78	1208	1016	836	1129	287	141	576	116	352	356	927	705	292	549	398	4	691	71	16	16	391	175	211	191	113	10	50	1784	1144	57	30	643	27	289	6	161	94	145	111	113	217	109	130	32	219	119	103	90	38	82
S4B07	10159	6118	5770	3514	2388	2965	2439	1578	696	468	462	2036	5272	619	19	26	72	400	362	537	335	363	708	43	814	1048	106	918	283	293	529	2	420	190	245	919	3	75	260	458	140	70	269	178	36	266	318	16	237	164	15	7	189	21	25	93	29	9	60	44	28	20	19	0	62	18	17	21	12	25
S4B1522	4659	3808	4496	1960	2181	1865	1126	690	469	204	405	2912	420	350	270	82	66	265	301	387	207	206	265	11	697	162	314	200	229	141	466	66	169	145	242	693	50	129	82	340	69	183	113	72	173	39	229	30	47	235	89	6	83	20	117	105	42	2	12	10	6	46	22	3	43	23	27	21	12	10
S4B3040	8099	5933	4464	3973	2443	2691	1334	1343	962	321	828	1896	465	1246	522	371	159	475	422	318	340	374	253	311	801	247	403	176	256	162	113	325	349	137	360	382	334	136	35	605	68	294	98	68	382	27	192	21	76	369	161	0	125	34	113	182	122	28	14	27	33	58	31	6	24	18	94	27	24	24
S4B5565	7784	5404	4265	3384	2411	2226	1404	1211	980	433	895	1110	881	1624	670	264	1074	479	448	191	259	304	418	550	538	317	295	216	170	505	225	249	286	141	309	221	255	139	49	278	112	141	137	64	175	44	223	33	87	249	120	38	49	18	54	244	170	46	31	39	28	46	23	4	16	14	105	22	8	21
S5A07	13308	13519	8556	9354	1395	765	1228	2889	1934	327	800	192	2952	575	5	0	216	928	364	764	644	540	230	13	46	254	181	166	333	334	110	0	96	342	34	179	15	4	193	133	217	21	20	201	0	150	11	0	64	7	4	0	14	22	124	0	0	0	194	23	0	2	83	18	98	105	0	76	23	54
S5A1522	9874	9308	5963	6785	1537	873	1350	1708	1335	361	501	487	4025	344	10	0	189	577	168	977	531	375	196	14	247	237	158	101	186	299	243	5	242	264	44	228	44	10	76	154	146	10	34	144	22	0	68	9	134	36	10	5	76	0	44	24	0	10	16	41	54	2	40	8	38	77	12	47	8	50
S5A3040	12122	11275	7641	7191	3743	1505	1965	2009	1624	423	665	1162	841	416	80	81	154	688	252	600	990	381	268	30	576	198	195	268	356	287	511	47	251	336	332	461	74	285	77	570	176	38	152	176	195	52	184	25	136	173	55	2	84	18	81	139	85	15	44	34	62	75	43	18	36	69	11	70	11	33
S5A5565	4071	3282	2515	2633	2304	787	1029	839	975	112	549	1278	61	887	481	175	81	259	212	280	247	157	110	145	170	99	86	27	84	89	101	178	82	78	97	6	285	183	0	22	108	65	63	31	10	0	27	7	332	9	96	4	0	0	46	64	78	45	44	13	101	52	29	9	3	9	16	9	12	13
S5B07	10351	8852	6079	5756	1834	1787	1694	1922	1154	358	512	815	3418	378	22	5	140	732	260	523	637	405	386	16	563	669	140	483	202	285	197	9	286	193	107	341	3	45	99	422	159	16	129	150	34	190	181	12	164	63	9	6	85	9	0	22	11	11	57	18	17	6	44	13	18	49	11	37	9	32
S5B1522	7466	6159	5136	3595	2329	1533	1321	1358	822	226	417	1011	1696	530	157	47	90	412	189	502	539	262	231	164	374	322	179	267	182	141	308	71	186	150	103	396	82	148	102	315	90	59	141	124	153	33	186	31	129	132	147	0	52	22	45	99	56	42	14	36	36	27	29	3	22	31	26	18	11	16
S5B3040	9579	5174	6445	3543	5550	2838	3331	1765	922	1373	1640	1457	2214	1747	826	700	602	485	390	1134	507	323	474	726	558	552	279	478	277	324	320	629	450	131	240	317	188	316	155	313	114	195	188	148	231	68	150	40	219	166	217	67	114	85	130	182	175	196	67	120	55	72	35	8	41	27	47	36	16	24
S5B5060	7352	5190	4731	3219	4095	1691	3035	2282	2105	668	1332	236	383	886	1802	1907	507	444	1415	692	376	249	282	568	125	152	180	65	147	135	505	236	153	133	119	44	656	74	29	31	173	114	138	76	87	16	176	13	608	130	49	37	30	75	6	46	51	131	58	222	159	73	31	7	21	32	48	30	3	20
