sample1,sample2,bMNTD,BC,bNTI,RC,process,grupo
S6A1522,S6A07,0.0060060438297204095,0.41349349515485295,-0.41193807694203904,0.8758758758758758,Undominated,Fossil Lagoon
S6A3040,S6A07,0.026298087427158577,0.6106830344143692,2.223395235596522,1,Heterogeneous.Selection,Fossil Lagoon
S6B07,S6A07,0.0034501685639834437,0.3604209351976221,-0.3794040059966443,-0.997997997997998,Homogenizing.Dispersal,Fossil Lagoon
S6B1522,S6A07,0.002558012545535601,0.31635783022321673,-1.3780049506115217,-0.94994994994995,Undominated,Fossil Lagoon
S6B3040,S6A07,0.00873372601816293,0.4450769963965596,-0.3586351736936659,0.987987987987988,Dispersal.Limitation,Fossil Lagoon
S7A07,S6A07,0.008209033296385806,0.47909491696453654,-3.006274276383036,0.997997997997998,Homogeneous.Selection,Fossil Lagoon
S7A1522,S6A07,0.014403508539481476,0.5590486078275723,-1.4316702786610649,1,Dispersal.Limitation,Fossil Lagoon
S7A3040,S6A07,0.025511525623958177,0.6209970043071921,2.2529716301475315,1,Heterogeneous.Selection,Fossil Lagoon
S7A5060,S6A07,0.05975154411347159,0.7311866903529995,6.365425260177444,1,Heterogeneous.Selection,Fossil Lagoon
S7B07,S6A07,0.010358760858426762,0.463341943531853,-2.7814451147869104,0.7437437437437437,Homogeneous.Selection,Fossil Lagoon
S7B1522,S6A07,0.008394391340213959,0.43826995556029,-1.2897509654417827,0.977977977977978,Dispersal.Limitation,Fossil Lagoon
S7B3040,S6A07,0.011484949596413972,0.5167409040882388,-0.2334201967521268,1,Dispersal.Limitation,Fossil Lagoon
S7B5060,S6A07,0.021998750580489237,0.5866141329733074,3.297154707941275,1,Heterogeneous.Selection,Fossil Lagoon
S6A3040,S6A1522,0.007890092413905272,0.5147105384688994,-1.8587212667615896,1,Dispersal.Limitation,Fossil Lagoon
S6B07,S6A1522,0.01819020368455118,0.5907546329485817,0.811846795959208,0.997997997997998,Dispersal.Limitation,Fossil Lagoon
S6B1522,S6A1522,0.0028198858066982805,0.3479478481165299,-1.3692098939593313,-0.3373373373373373,Undominated,Fossil Lagoon
S6B3040,S6A1522,0.0022359066897594754,0.3389919963726534,-2.6184094551927686,0.8858858858858858,Homogeneous.Selection,Fossil Lagoon
S7A07,S6A1522,0.019174469545094115,0.6208194472877255,-1.756319440320985,1,Dispersal.Limitation,Fossil Lagoon
S7A1522,S6A1522,0.004739620342004433,0.38351459217404793,-2.729045047778716,0.98998998998999,Homogeneous.Selection,Fossil Lagoon
S7A3040,S6A1522,0.008470235734884294,0.4639666242522233,-1.509069939691933,1,Dispersal.Limitation,Fossil Lagoon
S7A5060,S6A1522,0.0332444550648477,0.6405904256836027,2.7129402680628942,1,Heterogeneous.Selection,Fossil Lagoon
S7B07,S6A1522,0.027707359996499474,0.6285417703980856,0.34323831994603965,1,Dispersal.Limitation,Fossil Lagoon
S7B1522,S6A1522,0.010080946634241111,0.43835092772642853,-0.9794801272814666,1,Dispersal.Limitation,Fossil Lagoon
S7B3040,S6A1522,0.006078606352837813,0.4550207496917667,-2.394399676484973,1,Homogeneous.Selection,Fossil Lagoon
S7B5060,S6A1522,0.010790927201893981,0.5297349852484015,-0.6780052280447475,1,Dispersal.Limitation,Fossil Lagoon
S6B07,S6A3040,0.039344426823045314,0.5409577276786693,3.0621176295766706,0.9019019019019019,Heterogeneous.Selection,Fossil Lagoon
S6B1522,S6A3040,0.01813377500816968,0.5084387658168018,-0.015094359998022621,1,Dispersal.Limitation,Fossil Lagoon
S6B3040,S6A3040,0.0061853290132839155,0.38548542205041875,-0.5740951071118442,0.9939939939939939,Dispersal.Limitation,Fossil Lagoon
S7A07,S6A3040,0.036285913346213755,0.6816660658541156,1.213978654023198,1,Dispersal.Limitation,Fossil Lagoon
S7A1522,S6A3040,0.0058325982546453626,0.4672855144737532,-0.7403478816992479,1,Dispersal.Limitation,Fossil Lagoon
S7A3040,S6A3040,0.003312106760324895,0.3614721957568207,-0.26329912747860795,0.957957957957958,Dispersal.Limitation,Fossil Lagoon
S7A5060,S6A3040,0.012905820874029462,0.4831546585044547,2.254386770649279,1,Heterogeneous.Selection,Fossil Lagoon
S7B07,S6A3040,0.04687586503785473,0.6412316972122993,4.1526667633791545,1,Heterogeneous.Selection,Fossil Lagoon
