Depth	Site	Location	qs	means	sd
77	3	Site_6	Fossil Lagoon	q0=Observed	2796	325.269119345812
78	3	Site_6	Fossil Lagoon	q0f=PD Faith	226.733301173006	10.6385202865295
79	3	Site_6	Fossil Lagoon	q1=Exp Shannon	638.695564186294	177.950321300367
80	3	Site_6	Fossil Lagoon	q2=Inv Simpson	144.133601902318	46.419537443965
81	3	Site_7	Fossil Lagoon	q0=Observed	3148	7.07106781186548
82	3	Site_7	Fossil Lagoon	q0f=PD Faith	237.531663605292	4.56398720296255
83	3	Site_7	Fossil Lagoon	q1=Exp Shannon	792.088583609369	234.993535533625
84	3	Site_7	Fossil Lagoon	q2=Inv Simpson	211.771191671724	115.288774409633
85	4	Site_1	Miguelito Dike	q0=Observed	3580.5	105.358910396796
86	4	Site_1	Miguelito Dike	q0f=PD Faith	246.375364749912	11.0429474838057
87	4	Site_1	Miguelito Dike	q1=Exp Shannon	994.836808645473	162.993393034301
88	4	Site_1	Miguelito Dike	q2=Inv Simpson	304.689826220303	107.820611999012
89	4	Site_2	Miguelito Dike	q0=Observed	3533	772.16060505571
90	4	Site_2	Miguelito Dike	q0f=PD Faith	250.507696659853	46.3036882304079
91	4	Site_2	Miguelito Dike	q1=Exp Shannon	852.558757837174	129.939523352682
92	4	Site_2	Miguelito Dike	q2=Inv Simpson	191.135143355202	7.27718274191612
93	4	Site_3	Miguelito Dike	q0=Observed	2361.5	1789.68726318315
94	4	Site_3	Miguelito Dike	q0f=PD Faith	181.471605743405	99.1606132962235
95	4	Site_3	Miguelito Dike	q1=Exp Shannon	302.481092691595	63.0359532282106
96	4	Site_3	Miguelito Dike	q2=Inv Simpson	64.008619893414	51.2707557050931
97	4	Site_4	Reforma Waterfalls	q0=Observed	4596	NA
98	4	Site_4	Reforma Waterfalls	q0f=PD Faith	291.956602432266	NA
99	4	Site_4	Reforma Waterfalls	q1=Exp Shannon	1322.06738949212	NA
100	4	Site_4	Reforma Waterfalls	q2=Inv Simpson	320.634677644598	NA
101	4	Site_5	Reforma Waterfalls	q0=Observed	3199	1094.60129727678
102	4	Site_5	Reforma Waterfalls	q0f=PD Faith	230.352096778522	58.6027556447925
103	4	Site_5	Reforma Waterfalls	q1=Exp Shannon	746.265897255826	229.935364234591
104	4	Site_5	Reforma Waterfalls	q2=Inv Simpson	237.877813911458	88.711396569694
105	4	Site_7	Fossil Lagoon	q0=Observed	2983.5	720.541810029092
106	4	Site_7	Fossil Lagoon	q0f=PD Faith	232.080761501469	36.931432829403
107	4	Site_7	Fossil Lagoon	q1=Exp Shannon	726.519737398061	111.447809917519
108	4	Site_7	Fossil Lagoon	q2=Inv Simpson	191.919414322821	108.12679549717
