"ASV","Location","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"AM050125.1.1440","Fossil Lagoon","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobaculum","Chlorobium_limicola"
"FM165237.1.1502","Fossil Lagoon","d__Bacteria","Myxococcota","Polyangia","MidBa8","MidBa8","MidBa8","uncultured_bacterium"
"FN553950.1.1531","Fossil Lagoon","d__Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","Fermentibacteraceae","uncultured_sediment"
"JN517959.1.1415","Fossil Lagoon","d__Bacteria","Planctomycetota","Pla4_lineage","Pla4_lineage","Pla4_lineage","Pla4_lineage",NA
"FN553593.1.1519","Fossil Lagoon","d__Bacteria","Gemmatimonadota","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group",NA
"JQ085823.12226.13749","Fossil Lagoon","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","PHOS-HE36","PHOS-HE36","uncultured_bacterium"
"JN830954.1.1449","Fossil Lagoon","d__Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured","uncultured_delta"
"JX391481.1.1503","Fossil Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"EF516222.1.1490","Fossil Lagoon","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"HQ697792.1.1480","Fossil Lagoon","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","uncultured",NA
"AY454571.1.1047","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","uncultured_crenarchaeote"
"EU385873.1.1499","Fossil Lagoon","d__Bacteria","Planctomycetota","Pla4_lineage","Pla4_lineage","Pla4_lineage","Pla4_lineage","uncultured_bacterium"
"AY771960.1.1520","Fossil Lagoon","d__Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured",NA
"EF061982.1.1512","Fossil Lagoon","d__Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_planctomycete"
"EU585942.1.1430","Fossil Lagoon","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","uncultured_Thermoplasmatales"
"JN531217.1.1319","Fossil Lagoon","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031",NA
"GU118166.1.1439","Fossil Lagoon","d__Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured","uncultured_bacterium"
"KM410824.1.1460","Fossil Lagoon","d__Bacteria","Desulfobacterota","Desulfobaccia","Desulfobaccales","Desulfobaccaceae","Desulfobacca","uncultured_bacterium"
"FN436084.1.1498","Fossil Lagoon","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerocolumna","uncultured_bacterium"
"AY211679.1.1368","Fossil Lagoon","d__Bacteria","Desulfobacterota","Dissulfuribacteria","Dissulfuribacterales","Dissulfuribacteraceae",NA,NA
"JF344145.1.1495","Fossil Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria","Run-SP154","Run-SP154","Run-SP154","uncultured_gamma"
"JQ197423.1.1347","Fossil Lagoon","d__Bacteria","Myxococcota","Polyangia","VHS-B4-70","VHS-B4-70","VHS-B4-70","uncultured_bacterium"
"EU385764.1.1481","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Candidatus_Latescibacter","uncultured_bacterium"
"KM356384.1.1479","Fossil Lagoon","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"GQ472450.1.1438","Fossil Lagoon","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"KF500653.1.1397","Fossil Lagoon","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Filomicrobium","uncultured_Hyphomicrobiaceae"
"GU583982.1.1485","Fossil Lagoon","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2",NA
"KF616613.1.1426","Fossil Lagoon","d__Bacteria","Acidobacteriota","Acidobacteriae","PAUC26f","PAUC26f","PAUC26f","uncultured_Acidobacteria"
"DQ811870.1.1468","Fossil Lagoon","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031",NA
"EF108312.1.1555","Fossil Lagoon","d__Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium",NA
