sample_id	EU652571.1.1503	KX097089.1.1528	EU488457.1.1483	HQ727627.1.1522	AM176885.1.1418	KJ817533.1.1498	AM745219.1.1602	FJ712534.1.1514	KX504848.1.1523	AB806704.1.1485	HE804013.1.1479	KC357800.1.1438	GU180188.1.1514	JN498221.1.1394	DQ431903.1.1419	GQ143772.1.1554	AM997418.1.1513	JQ580309.1.1482	KC009895.1.1442	FJ545472.1.1559	KC009877.1.1515	FJ748816.1.1514	HQ727651.1.1475	EU283571.1.1333	DQ811808.1.1527	DQ363780.1.954	KY609501.1.1523	GU302442.1.1531	GQ249585.1.1531	LC004293.1.1337	KM356725.1.1424	GQ337314.1.1475	KJ817459.1.1525	KC009862.1.1289	KP728222.1.1525	EF444653.1.1279	JX240886.1.1472	KC470953.1.1371	AB266389.1.1525	KF268910.1.1377	AB694385.1.1409	KC009933.1.1519	EF125407.1.1477	GU982895.1.1212	JQ426267.1.1505	FJ685743.1.1209	EU491457.1.1489	DQ641854.1.916	JF747656.1.1535	AM882560.1.1458	KU578771.1.1356	JX504409.1.1551	CP013099.3645030.3646539	FJ900559.1.1484	AB622941.1.1314	KF616783.1.1488	HE604685.1.1406	JN457602.1.1397	JQ580306.1.1521	JN518931.1.1452	JQ824907.1.1522	JQ716338.1.1491	FJ203391.1.1488	EU488054.1.1507	FJ748775.1.1510	KT167015.1.1381	DQ811819.1.1523	JQ580221.1.1496	AM039960.1.1519	JF344346.1.1503	KM108644.1.1515	JQ716269.1.1517	JX241033.1.1526	JF344635.1.1514	JQ580158.1.1515	JF421166.1.1503	EU488036.1.1531	HQ014650.1.1499	HM437993.1.1513	FR682646.1.1628	KX097734.1.1525	GQ246446.1.1523	JN977174.1.1546	FJ203584.1.1459	KR824977.1.1462	JF344561.1.1519	HQ738402.1.1458	DQ811935.1.1507	GQ994158.1.923	EU617821.1.1525	EU662567.1.1446	AY216453.1.1421	FJ905762.1.1411	JF268389.1.1458	EF999356.1.1505	KX172242.1.1463	LN563386.1.1350	EU652611.1.1524	KX172552.1.1464	JQ245921.1.944	HF922320.1.1505	MGML01000116.8420.9921	GU369933.1.1368	KJ817493.1.1525	JX870311.1.915	JX504490.1.1557	KM356749.1.1483	JN977195.1.1550	AM882621.1.1521	HE614829.1.1456	AB806729.1.1479	CP016268.790030.791574	KF460404.1.1524	EF208655.1.1533	LC121892.1.914	AB364850.1.1498	GQ850571.1.1477	KX173276.1.1482	DQ070825.1.1419	AY584740.1.1231	EU488419.1.1514	DQ431904.1.1420	DQ811792.1.1512	EU491875.1.1464	JX870317.1.915	KM203484.1.1200	KX504856.1.1527	KX172521.1.1480	KC471044.1.1422	KC009968.1.1238	HQ697688.1.1523	JF495328.1.1537	GU230392.1.1515	FN553932.1.1517	JQ817984.1.1485	DQ811831.1.1528	LN569797.1.1343	DQ431896.1.1372	AB300128.1.1329	JN038216.1.1526	KC009869.1.1401	DQ811807.1.1529	FM242440.1.1461	AB806698.1.1488	HQ588453.1.1411	EU048674.1.1479	JQ816885.1.1488	KJ817529.1.1517	JF344665.1.1520	KT905810.1.1538	MG601262.1.1536	HM598262.1.1519	HE803898.1.1484	AY605137.1.1495	GQ263976.1.1455	DQ070827.1.1355	JX482201.1.900	EU487975.1.1514	EF157274.1.1422	JX280051.1.1507	KP174553.1.1436	KM356611.1.1422	KT907904.1.907	KY861742.1.1376	JN830953.1.1424	HM798748.1.1422	KM356600.1.1484	EU488352.1.1526	JQ816305.1.1426	AB806727.1.1479	EU290687.1.1515	KX172187.1.1456	DQ811880.1.1473	EF687551.1.1333	FJ477316.1.1346	KY441460.1.1524	JQ580330.1.1478	JX227640.1.1459	DQ431899.1.1417	FJ655689.1.1403	GQ994182.1.911	KP762238.1.1208	FJ455958.1.911	JQ580439.1.1531	GQ356834.1.936	KY228984.1.1390	JN977162.1.1541	JN003082.1.1327	FJ517042.1.1485	EU134890.1.1383	JF344478.1.1502	AM997875.1.1458	HQ316943.1.1422	HQ597894.1.1508	AY913245.1.1415	HQ691951.1.1342	EF125417.1.1529	EF125426.1.1479	EF612387.1.1493	FJ545485.1.1494
S7B1522	0.0798435033750882	0.0105954259999328	0.0179500957114552	0.00179668871948148	0.0053732746750848	0.00799274607918864	0.00575947879235652	0.011149544950801	0.00322396480505088	0.068794707324445	0.00550760654196192	0.00752258454511872	0.00376129227255936	0.0735970715653021	0.00129294421869228	0.0396782751788293	0.00668301037713672	0.00384524968935756	0.00985660073210867	0.0118547872519058	0.00794237162910972	0.0197635759142963	0.0135171441045102	0.00983980924874903	0.00231722470363032	0.00020149780031568	0.00177989723612184	0.001259361251973	0.00960472848171407	0.00314000738825268	0.0031064244215334	0.00266984585418276	0.00381166672263828	6.716593343856e-05	0.00065486785102596	0.0379487523927864	0.0321053161836317	0.00853007354669712	0.00169593981932364	0.0057091043422776	0.00710279746112772	0.00053732746750848	0.0014272760855694	0.00431541122342748	0.0031903818383316	0.00055411895086812	0.0187392954293582	0.0141384289888169	0.0124256976861336	0.0052053598414884	0.00374450078919972	0.0136850589381066	0.00408033045639252	0.00334150518856836	0.00246834805386708	0.00507102797461128	0.00219968432011284	0.00191422910299896	0.00191422910299896	0.0009235315847802	0.00114182086845552	0.00397958155623468	0.00063807636766632	0.00048695301742956	0.0101084729825033	0.00594418510931256	0.00497027907445344	0.00745541861168016	0.0052893172582866	0.00408033045639252	0.00518856835812876	0.00156160795244652	0.00300567552137556	0.00535648319172516	0.0036101689223226	0.00433220270678712	0.00139369311885012	0.0018470631695604	0.00664942741041744	0.00015112335023676	0.00208214393659536	0.00023508076703496	0.00164556536924472	0.00181348020284112	0.00169593981932364	0.00183027168620076	0.00179668871948148	0.00533969170836552	0.00250193102058636	0.0002518722503946	0.00015112335023676	0.00376129227255936	0.0023508076703496	0.00569231285891796	0.00372770930584008	0.010074890015784	0.00347583705544548	0.00364375188904188	0.00816066091278504	0.00102428048493804	0.00584343620915472	0.00149444201900796	0.0089834435974074	0.00292171810457736	0.00223326728683212	0.00055411895086812	0.00015112335023676	0.005037445007892	0.00063807636766632	0.0006716593343856	0.001259361251973	0.00073882526782416	0.0006716593343856	0.00055411895086812	0.0010074890015784	0.00018470631695604	0.00031903818383316	0.0003358296671928	0.00011754038351748	0.0001679148335964	0.00664942741041744	0.0241293615878027	0.00166235685260436	0.00829499277966216	0.00312321590489304	0.00325754777177016	0.00104107196829768	0.000856365651341639	0.00018470631695604	0.00199818651979716	0.00174631426940256	0.00391241562279612	0.00038620411727172	0.0010074890015784	0.00030224670047352	0.0172952278604292	0.00367733485576116	0.0121906169190986	0.000940323068139839	0.0009235315847802	0.00031903818383316	0.00198139503643752	0.003358296671928	0.000889948618060919	0.00483594720757632	0.00020149780031568	0.000957114551499479	0.00104107196829768	0.0001679148335964	0.00154481646908688	0.00010074890015784	0.00035262115055244	0.00038620411727172	0.00036941263391208	0.0062128488430668	0.00112502938509588	0.00120898680189408	0.00065486785102596	3.358296671928e-05	0.00312321590489304	6.716593343856e-05	0.00080599120126272	0.00107465493501696	0.000856365651341639	0.0022668502535514	0.00463444940726064	0.00070524230110488	0.00030224670047352	0.001259361251973	0	0.0013433186687712	0.000873157134701279	0.00038620411727172	0.00272022030426168	0.0013433186687712	0.00466803237397992	0.00073882526782416	0.00129294421869228	0.00040299560063136	0.00314000738825268	0.00144406756892904	8.39574167982e-05	0.002518722503946	0.00177989723612184	0.00743862712832052	0.00018470631695604	0.0015951909191658	0.00063807636766632	0.00124256976861336	0.00015112335023676	0.0005877019175874	0.00030224670047352	0.00124256976861336	0.00062128488430668	0.00090674010142056	0.00072203378446452	0	0.00070524230110488	0.000990697518218759	0.00446653457366424
S7B3040	0.116521139159192	0.00723275677476149	0.0200328329090433	0.00154647759986677	0.00838666698389284	0.00996883252837192	0.00651899788251529	0.00516285598724751	0.000832718707620566	0.0625371749423045	0.00714948490399943	0.00547215150722086	0.00373533820275511	0.104315862101782	0.00260521995669863	0.0333325402678975	0.00593609478718089	0.00166543741524113	0.00566248721181985	0.010516047679094	0.00398515381504128	0.0192476981275725	0.0207109038566772	0.0137160667126645	0.00237919630748733	3.568794461231e-05	0.000856510670695439	0.00110632628298161	0.0106825914206181	0.0029858913658966	0.00218886060288834	0.0019152530275273	0.000773238799933383	0.0003568794461231	0.000892198615307749	0.0624895910161547	0.0416716233256406	0.00355689847969356	0.00322381099664533	0.00190335704598986	0.00333087483048226	0.000785134781470819	0.00136803787680522	0.00460374485498798	0.00211748471366372	0.000416359353810283	0.0280983083914254	0.0192001142014228	0.0144417215864481	0.00515096000571007	0.00519854393185982	0.00926696961766315	0.00149889367371702	0.00975470486069806	0.00315243510742071	0.00266469986438581	0.00201042087982679	0.00295020342128429	0.00254574004901144	0.000797030763008256	0.000987366467607242	0.00350931455354381	0.000820822726083129	0.000737550855321073	0.0155480478694297	0.0036996502581428	0.0123123408912469	0.00886250624539031	0.00698294116247532	0.00256953201208632	0.0045442649473008	0.00233161238133758	0.00176060526754062	0.000987366467607242	0.0010706383383693	0.00417548951964027	0.00310485118127097	0.00165354143370369	0.00380671409197973	0.000344983464585663	0.00140372582141753	0.000190335704598986	0.00236730032594989	0.00158216554447908	0.00049963122457234	0.00235540434441246	0.000226023649211296	0.000582903095334396	0.00114201422759392	0.000678070947633889	0.000725654873783636	0.00413980157502796	0.0105755275867812	0.00912421783921391	0.00499631224572339	0.00384240203659204	0.00613832647331731	0.00162974947062882	0.00413980157502796	0.00124907806143085	0.00272417977207299	0.00121339011681854	0.00239109228902477	0.00346173062739407	0.00198662891675192	0.00148699769217958	4.75839261497466e-05	0.0026290119197735	0.000594799076871833	0.000582903095334396	0.000761342818395946	0.00109443030144417	0.000975470486069806	0.00165354143370369	0.000963574504532369	0.000416359353810283	8.32718707620566e-05	0.000832718707620566	0.000416359353810283	0.00196283695367705	0.00296209940282173	0.000951678522994932	0.00184387713830268	0.0064595179748281	0.00184387713830268	0.00397325783350384	0.00212938069520116	0.00039256739073541	0.000118959815374367	0.000547215150722086	0.0032119150151079	0.000844614689158002	0.000166543741524113	0.00028550355689848	0.000606695058409269	0.00234350836287502	0.00560300730413266	0.0069115652732507	0.00108253431990674	0.000202231686136423	0.00017843972306155	0.000523423187647213	0.000130855796911803	0.000785134781470819	0.00299778734743404	9.51678522994932e-05	0.000987366467607242	0.000297399538435916	5.94799076871833e-05	9.51678522994932e-05	9.51678522994932e-05	0.00042825533534772	0.000297399538435916	9.51678522994932e-05	7.13758892246199e-05	0.000654278984559016	0.000785134781470819	0.000452047298422593	0.000273607575361043	0.000832718707620566	0	0.00042825533534772	0.00039256739073541	0.000880302633770312	0.00117770217220623	0.00485356046727415	0.000237919630748733	0.000154647759986677	0.000868406652232876	0.000118959815374367	0.00046394327996003	0.000820822726083129	0.000975470486069806	0.000785134781470819	0.000773238799933383	0.00355689847969356	0.000856510670695439	0.00111822226451905	0.00116580619066879	0.00137993385834265	0.00141562180295496	0.00032119150151079	0.000880302633770312	0.00046394327996003	0.0198781851490566	0.000559111132259523	0.000547215150722086	0.000130855796911803	0.000261711593823606	0.000487735243034903	0.00014275177844924	0.000154647759986677	0.00024981561228617	3.568794461231e-05	0.00170112535985344	0.00014275177844924	0	0.00017843972306155	0.000297399538435916	0.001689229378316
S7B5060	0.122385506570251	0.00970375554000467	0.0156908483010652	0.00161729259000078	0.0077287924733691	0.00761993624134982	0.0079309540471192	0.0024103879947127	0.000202161573750097	0.0699790062981106	0.00937718684394682	0.00318793250913615	0.00339009408288625	0.111359925355727	0.00247259155586657	0.015053261799238	0.00278360936163595	0.00185055594432781	0.00354560298577094	0.00654692481144546	0.00317238161884768	0.0180079309540471	0.0217401446232797	0.0139646994790452	0.00877070212269652	0.000342119586346318	0.000901951636731203	0.00214602285980872	0.00853743876836949	0.00380996812067491	0.00281471114221289	0.001757250602597	0.000715340953269575	0.00323458518000156	0.00119741855221211	0.0653448409921468	0.041147655703289	0.00206826840836638	0.00534950625923334	0.00178835238317394	0.00427649482932898	0.000761993624134982	0.0019594121763471	0.00250369333644351	0.00228598087240495	0.000186610683461628	0.033123396314439	0.0210248036700101	0.0140891066013529	0.0057227276261566	0.00472747064769458	0.00471191975740611	0.000839748075577327	0.00959489930798538	0.00314127983827074	0.00309462716740533	0.00323458518000156	0.00315683072855921	0.00167949615115465	0.000886400746442734	0.000668688282404168	0.00203716662778944	0.000590933830961823	0.000404323147500194	0.0167949615115465	0.00513179379519477	0.0207137858642407	0.00749552911904207	0.00349895031490553	0.00320348339942462	0.00284581292278983	0.0019594121763471	0.00153953813855843	0.00111966410076977	0.00186610683461628	0.00357670476634787	0.00346784853432859	0.00125962211336599	0.00276805847134748	0.00169504704144312	0.00247259155586657	0.000715340953269575	0.00499183578259855	0.00287691470336677	0.00118186766192365	0.00177280149288547	0.000824197185288858	0.000715340953269575	0.000202161573750097	0.00136847834538527	0.000388772257211725	0.00488297955057927	0.0189565352616437	0.0114454552523132	0.00533395536894487	0.00113521499105824	0.0048674286602908	0.00172614882202006	0.00287691470336677	0.00335899230230931	0.00276805847134748	0.00203716662778944	0.00208381929865485	0.00160174169971231	0.00136847834538527	0.00127517300365446	0.000839748075577327	0.0024103879947127	0.00063758650182723	0.00104190964932742	0.000497628489231009	0.00133737656480834	0.00094860430759661	0.000933053417308141	0.000761993624134982	0.000139958012596221	0.000435424928077132	0.000839748075577327	9.33053417308141e-05	0.000482077598942539	0.00345229764404012	0.000373221366923256	0.000979706088173548	0.00541170982038722	0.00094860430759661	0.00309462716740533	0.00160174169971231	0.000622035611538761	0.000202161573750097	0.000450975818365601	0.00133737656480834	0.000590933830961823	0.000326568696057849	0.000264365134903973	0.000450975818365601	0.00209937018894332	0.00586268563875282	0.00342119586346318	0.00063758650182723	0.000373221366923256	9.33053417308141e-05	0.000404323147500194	0.000746442733846513	0.000388772257211725	0.0015550890288469	0.000404323147500194	0.000777544514423451	0.000575382940673354	0.00015550890288469	0.000482077598942539	0.00046652670865407	0.00063758650182723	0.00031101780576938	4.6652670865407e-05	0.000139958012596221	0.000264365134903973	0.000528730269807947	0.000668688282404168	0.000139958012596221	0.000622035611538761	0	0.00393437524298266	0.000264365134903973	0.000450975818365601	0.000435424928077132	0.00181945416375087	0.000108856232019283	0.00194386128605863	0.00115076588134671	0.00015550890288469	0.00046652670865407	0.00063758650182723	0.00819531918202317	0.000590933830961823	0.000326568696057849	0.00186610683461628	0.0013529274550968	0.00217712464038566	0.00164839437057772	0.000513179379519477	0.0011041132104813	0.000202161573750097	0.000497628489231009	0.00046652670865407	0.0141513101625068	0.00111966410076977	9.33053417308141e-05	0.000124407122307752	0.00031101780576938	0.000357670476634787	0.000202161573750097	0.000139958012596221	7.77544514423451e-05	0	0.000575382940673354	0.000233263354327035	0	7.77544514423451e-05	0	0.000404323147500194
zr2502_11_R1	0.181592039800995	0.0439469320066335	0.0360696517412935	0.00995024875621891	0.0298507462686567	0.013681592039801	0.00912106135986733	0.0265339966832504	0.0286069651741294	0.0153399668325041	0.0149253731343284	0.0269485903814262	0.00538971807628524	0	0	0.0223880597014925	0.00538971807628524	0	0.00829187396351575	0.00829187396351575	0.00165837479270315	0	0	0	0	0.0157545605306799	0.013681592039801	0.0149253731343284	0	0	0.00912106135986733	0	0.00290215588723051	0.00621890547263682	0.0145107794361526	0	0	0	0	0	0	0.0476782752902156	0	0.0033167495854063	0	0.00456053067993367	0	0	0	0	0.00953565505804312	0.00207296849087894	0.0161691542288557	0.0244610281923715	0	0	0.0298507462686567	0	0.00621890547263682	0	0.00538971807628524	0	0	0	0	0	0	0	0.0323383084577114	0	0	0.00497512437810945	0	0	0	0	0	0	0	0.00248756218905473	0	0.0178275290215589	0.00580431177446103	0.00248756218905473	0	0	0	0	0.0149253731343284	0.00290215588723051	0	0	0.00746268656716418	0	0.00995024875621891	0.013681592039801	0	0	0	0	0	0	0	0	0	0.00580431177446103	0	0	0	0	0	0	0	0	0	0	0.00704809286898839	0	0	0	0	0	0	0	0	0	0	0	0	0.00290215588723051	0	0	0	0	0	0.00497512437810945	0	0	0	0	0	0	0	0	0	0	0.00912106135986733	0	0.00580431177446103	0	0	0	0	0	0	0.00787728026533997	0	0	0	0.0232172470978441	0	0	0	0	0.00414593698175788	0.00248756218905473	0	0	0	0	0	0	0.00787728026533997	0	0.00787728026533997	0	0	0.00248756218905473	0	0	0	0	0	0	0	0	0	0	0	0	0.0066334991708126	0.00704809286898839	0	0	0	0	0.0281923714759536	0	0.0124378109452736	0.0248756218905473
zr2502_12_R1	0.339896858884201	0.00890764181903422	0.0070323488045007	0.0339896858884201	0.0236755743084857	0	0.0168776371308017	0.00281293952180028	0.00679793717768401	0	0.00726676043131739	0.0107829348335677	0.00351617440225035	0	0	0	0	0.0114861697140178	0.00750117205813408	0.0142991092358181	0.0046882325363338	0.0257852789498359	0	0	0	0.0206282231598687	0.0133614627285513	0.00796999531176746	0	0.0117205813408345	0	0	0	0	0.00890764181903422	0	0	0.00539146741678387	0	0.0159399906235349	0	0	0.00257852789498359	0.00773558368495077	0.0140646976090014	0.020393811533052	0	0	0.00773558368495077	0	0	0	0.00679793717768401	0.0161744022503516	0	0	0	0	0.00867323019221753	0	0	0.00304735114861697	0	0	0	0	0.0168776371308017	0	0	0	0.0023441162681669	0	0	0	0.00140646976090014	0.013595874355368	0	0.0070323488045007	0	0.00375058602906704	0	0.00187529301453352	0	0	0.00351617440225035	0	0	0	0	0.00562587904360056	0	0	0	0	0	0	0	0	0	0	0	0	0.00843881856540084	0.00398499765588373	0	0	0	0.0103141115799344	0.00281293952180028	0.0046882325363338	0	0.00281293952180028	0	0	0	0	0.00070323488045007	0	0	0	0	0	0.0070323488045007	0	0	0	0	0	0	0	0	0.00445382090951711	0	0	0	0.0142991092358181	0	0.0269573370839194	0.00632911392405063	0	0.012892639474918	0	0.00632911392405063	0.0171120487576184	0	0	0.00164088138771683	0	0	0	0	0	0	0	0	0	0.00632911392405063	0	0.0112517580872011	0	0.0070323488045007	0	0	0	0	0	0	0	0	0	0.00421940928270042	0	0.0168776371308017	0.0239099859353024	0	0.00164088138771683	0.00445382090951711	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164088138771683	0	0.00421940928270042	0	0	0.00093764650726676	0.0283638068448195	0	0	0.00586029067041725
zr2502_13_R1	0.286026997446188	0.00802626778547975	0	0	0	0	0.0127690623859905	0.0025538124771981	0	0	0	0	0.0153228748631886	0.0175118569865013	0	0	0.10726012404232	0.0134987230937614	0	0.025538124771981	0	0	0	0	0	0.0233491426486684	0	0	0	0.0153228748631886	0.0025538124771981	0	0.00729660707770887	0	0.0113097409704487	0	0	0.00693177672382342	0	0	0	0	0.00547245530828165	0	0	0	0.00401313389273988	0	0	0	0.00656694636993798	0	0	0	0	0	0.0175118569865013	0	0	0	0	0.0218898212331266	0	0	0	0	0.0197008391098139	0	0	0	0	0.0160525355709595	0	0	0.048522437066764	0	0	0	0.00218898212331266	0	0.00510762495439621	0	0	0	0.0142283838015323	0	0	0	0	0.00291864283108355	0	0	0	0	0	0.00474279460051076	0	0.013133892739876	0	0.0116745713243342	0.00547245530828165	0	0.013133892739876	0.013133892739876	0	0	0.00182415176942722	0	0.00474279460051076	0	0	0	0	0	0	0.0124042320321051	0.0105800802626779	0	0	0	0.0346588836191171	0	0.00802626778547975	0	0	0	0	0	0	0	0.00802626778547975	0	0.00291864283108355	0	0	0	0	0	0	0	0	0	0	0.0153228748631886	0	0	0	0.00510762495439621	0	0	0	0	0	0.00291864283108355	0	0	0	0	0	0	0.0102152499087924	0	0	0	0	0	0.00802626778547975	0	0	0	0.00291864283108355	0	0	0.0510762495439621	0	0	0	0	0	0	0	0.0215249908792412	0	0	0.00547245530828165	0	0	0	0	0	0	0	0	0	0	0	0.0134987230937614	0	0	0
zr2502_14_R1	0.0092540661805945	0.00757150869321368	0	0.0086932136848009	0.0305664610207515	0.0501962983735278	0	0.00785193494111049	0.00224340998317443	0	0	0.0089736399326977	0	0	0.00196298373527762	0.0148625911385306	0.0123387549074593	0	0.018508132361189	0	0.00532809871003926	0.00701065619742008	0	0.0092540661805945	0.0992708917554683	0	0.0249579360628155	0.0089736399326977	0.00644980370162647	0	0.0162647223780146	0.00841278743690409	0.0114974761637689	0	0	0	0.0552439708356702	0	0	0	0.0114974761637689	0	0.0305664610207515	0.00140213123948402	0	0	0	0	0.0364554122265844	0.00673022994952328	0.0630959057767807	0.00588895120583287	0	0	0	0	0	0.00813236118900729	0	0	0	0	0.00280426247896803	0	0.0131800336511497	0.0162647223780146	0	0.00308468872686483	0.00785193494111049	0.018508132361189	0.00280426247896803	0	0	0	0.00224340998317443	0	0	0	0.0089736399326977	0	0	0.0089736399326977	0	0	0	0	0	0.0204711160964666	0.00785193494111049	0	0	0.00673022994952328	0	0	0	0	0	0	0	0	0.00785193494111049	0.000841278743690409	0	0.00504767246214246	0.00280426247896803	0	0	0	0.00420639371845205	0	0.00252383623107123	0	0	0	0.00364554122265844	0.0243970835670219	0	0.0128996074032529	0	0	0	0	0	0	0.0364554122265844	0	0	0	0	0.00420639371845205	0.00813236118900729	0	0	0.00308468872686483	0.00420639371845205	0	0	0	0	0	0	0	0	0.00364554122265844	0.00785193494111049	0.00813236118900729	0.0089736399326977	0	0	0.0120583286595625	0	0	0	0	0.00448681996634885	0.00112170499158721	0	0.00112170499158721	0.00504767246214246	0.0218732473359506	0	0	0.00953449242849131	0	0.00308468872686483	0	0	0.0123387549074593	0	0.00196298373527762	0	0	0.00616937745372967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00532809871003926	0	0.00448681996634885	0	0	0.0457094784071789	0.00757150869321368	0
zr2502_1_R1	0.0899912203687445	0.014486391571554	0.0254609306409131	0	0.0171202809482002	0.0215100965759438	0	0.0316066725197542	0.0250219490781387	0.0276558384547849	0.0254609306409131	0.0272168568920105	0	0	0	0.0140474100087796	0.0258999122036874	0.0109745390693591	0	0.00307287093942054	0	0	0	0	0.00570676031606672	0.00790166812993854	0.0355575065847234	0	0.014486391571554	0	0.019315188762072	0.009657594381036	0.009657594381036	0.00614574187884109	0.00702370500438982	0	0	0	0	0	0	0.0478489903424056	0	0.00131694468832309	0	0	0	0	0	0.0184372256365233	0	0	0.0100965759438104	0.00877963125548727	0.0140474100087796	0	0.0166812993854258	0	0	0	0.00395083406496927	0	0.0127304653204565	0	0	0.0153643546971027	0	0	0.0237050043898156	0.00526777875329236	0	0.00877963125548727	0.00834064969271291	0	0	0	0	0	0	0	0	0.0122914837576822	0	0.009657594381036	0	0.0153643546971027	0.004828797190518	0	0	0	0	0	0	0	0.0114135206321334	0.0232660228270413	0	0	0.0105355575065847	0	0	0.0105355575065847	0	0.0100965759438104	0	0	0	0	0.0105355575065847	0	0.0179982440737489	0	0	0.00834064969271291	0.00658472344161545	0	0	0	0	0	0	0.004828797190518	0	0	0	0	0	0	0.00395083406496927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00614574187884109	0	0	0.0100965759438104	0	0	0	0.0364354697102722	0	0.0136084284460053	0	0	0.00746268656716418	0	0	0.00131694468832309	0.00351185250219491	0	0	0	0.00834064969271291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00307287093942054	0	0.0395083406496927	0	0.00570676031606672	0.00263388937664618	0	0	0	0.009657594381036	0	0.00921861281826163	0.0127304653204565
zr2502_33_R1	0.0577273911910347	0.0072973677352098	0.0638519676830858	0.0072973677352098	0.0191555903049257	0.00130310138128746	0.00221527234818869	0.0019546520719312	0.00182434193380245	0.00443054469637738	0.00143341151941621	0	0	0.217748240813135	0.240422204847537	0.00299713317696117	0	0	0	0	0	0	0.105290591608027	0.000651550690643732	0	0.00338806359134741	0	0.00325775345321866	0	0.0105551211884285	0	0	0	0.0016940317956737	0	0.129788897576231	0	0	0	0.000912170966901225	0	0.00547302580140735	0	0	0	0	0	0	0	0	0	0.000651550690643732	0	0.00416992442011989	0	0	0	0	0	0	0	0	0	0	0	0	0.00338806359134741	0.00586395621579359	0.00247589262444618	0	0	0	0	0	0	0.00586395621579359	0	0	0	0	0.000912170966901225	0	0.00443054469637738	0	0	0	0	0	0	0	0.00182434193380245	0	0.00234558248631744	0	0	0.00403961428199114	0	0	0	0.000912170966901225	0	0	0	0	0	0.00104248110502997	0	0.00664581704456607	0	0	0	0	0.00508209538702111	0	0.00377899400573365	0	0	0	0.00234558248631744	0	0	0	0.000912170966901225	0.00338806359134741	0	0	0	0.00182434193380245	0.00312744331508991	0	0	0	0	0	0	0	0	0.0019546520719312	0	0.0118582225697159	0.00247589262444618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130310138128746	0.000390930414386239	0	0	0	0	0.00156372165754496	0	0	0	0	0	0	0	0	0.00416992442011989	0	0	0	0.00390930414386239	0.000260620276257493	0	0	0.00260620276257493	0	0	0	0	0.000781860828772478	0.00156372165754496	0	0	0	0	0	0	0	0	0	0.00325775345321866	0.00820953870211102
zr2502_34_R1	0.469638303900274	0.0150155822079516	0.00311644159032959	0.0196430257814713	0.00519406931721598	0.000283312871848144	0.0300311644159033	0	0.00528850694116536	0	0	0.00302200396638021	0.00264425347058268	0	0	0	0.00292756634243082	0	0.0010388138634432	0.0165265841911418	0.000377750495797526	0.139201057701388	0	0	0	0.0234205307394466	0.0010388138634432	0.0015110019831901	0.00481631882141845	0.00066106336764567	0.00217206535083577	0.000944376239493814	0	0	0.00160543960713948	0	0.00198319010293701	0.00245537822268392	0.00368306733402588	0.00623288318065917	0.00576069506091227	0.00434413070167155	0.00217206535083577	0.00226650297478515	0.00916044952309	0.00434413070167155	0	0	0.00500519406931722	0	0	0	0.00264425347058268	0	0	0	0.00585513268486165	0	0.00566625743696289	0.00198319010293701	0	0.00179431485503825	0	0.00236094059873454	0	0	0.00594957030881103	0	0.00141656435924072	0	0	0	0	0.00169987723108887	0	0.00519406931721598	0	0.00689394654830484	0	0.00226650297478515	0	0	0	0	0	0.000283312871848144	0	0	0	0.00434413070167155	0	0	0	0	0	0	0	0	0	0	0	0.0015110019831901	0	0.00443856832562093	0	0.00066106336764567	0	0	0.00358862971007649	0	0	0.00132212673529134	0	0.0010388138634432	0	0	0	0	0	0	0.00368306733402588	0	0.0145433940882047	0	0	0	0.00679950892435546	0	0	0	0	0.000755500991595051	0.0010388138634432	0.00160543960713948	0	0.00217206535083577	0	0.0249315327226367	0.00132212673529134	0	0	0.00424969307772216	0.00415525545377278	0	0	0	0.00141656435924072	0.00066106336764567	0	0.0010388138634432	0	0.00245537822268392	0	0	0	0	0.00217206535083577	0	0	0	0.0186986495419775	0	0	0.00160543960713948	0	0.000566625743696289	0.00188875247898763	0	0	0	0.00122768911134196	0.00141656435924072	0.00462744357351969	0	0	0	0.00576069506091227	0	0	0	0.0015110019831901	0	0.00528850694116536	0	0	0	0	0	0	0	0	0	0	0	0.000566625743696289	0.00179431485503825	0.0186986495419775	0	0	0.00491075644536783
