SampleID	Collection_date	depth	ID	Environmental_medium	Geographic.Location	Study_zone	Ecological_type	season	Mangrove_system	Mangrove_type	Depths	sample_id_original	sample_id_clean	network_group	network_dataset	network_label	network_system	network_zone	depth_class_raw	depth_class	depth_raw
S3B515	2023-09-28	0-15	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Surface	S3B515	S3B515	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Surface	Surface	0-15
S3B6070	2023-09-28	50-70	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Deep	S3B6070	S3B6070	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Deep	Deep	50-70
S4B07	2023-09-29	0-15	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Surface	S4B07	S4B07	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Surface	Surface	0-15
S4B1522	2023-09-29	16-30	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Mid	S4B1522	S4B1522	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Mid	Mid	16-30
S4B3040	2023-09-29	31-45	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Deep	S4B3040	S4B3040	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Deep	Deep	31-45
S4B5565	2023-09-29	50-70	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Deep	S4B5565	S4B5565	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Deep	Deep	50-70
S5A07	2023-09-29	0-15	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Surface	S5A07	S5A07	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Surface	Surface	0-15
S5A1522	2023-09-29	16-30	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Mid	S5A1522	S5A1522	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Mid	Mid	16-30
S5A3040	2023-09-29	31-45	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Deep	S5A3040	S5A3040	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Deep	Deep	31-45
S5A5565	2023-09-29	50-70	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Deep	S5A5565	S5A5565	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Deep	Deep	50-70
