site_label_for_analysis	site_real_candidate	n_samples
Site_1	Miguelito Dike	8
Site_2	Miguelito Dike	8
Site_3	Miguelito Dike	8
Site_4	Reforma Waterfalls	4
Site_5	Reforma Waterfalls	8
Site_6	Fossil Lagoon	6
Site_7	Fossil Lagoon	8
