sample_id	site_label_for_analysis	site_code_final	site_real_candidate	depth_final	network_group	Sample	ID	Depth	Depths	Site	Sample_type	Date	Location	Temp...C..int	Salnidad..ppm.int	Salinidad..ppt.int	pH.int	pHsup	Redox.medido.en.campo1	Redox.mV..Eh.int	Temperatura...C.sup	Salnidad..ppm.sup	Salinidad..ppt.sup	Redox.medido.en.campo	Redox.mV..Eh.sup	S.2..mg.l..campo	ml.de.muestra1	Factor.de.dilucion1	S.2..mg.l.	ID_M	SO.....mg.l..campo	ml.de.muestra2	Factor.de.dilucion2	SO.....mg.l.	sample_id_original	sample_id_clean	network_dataset	network_label	network_system	network_zone	depth_class_raw	depth_class	depth_raw	site_code_from_id	depth_from_id	site_code_network	depth_network	phyloseq_rds_candidate	matrix_source_candidate
S3B515	Site_3	Site_3	Miguelito Dike	1	Depth_0_15	S3B515	S3B	1	0-15	Site_3	Sediment	28/09/2023	Miguelito Dike	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495	S3B515	S3B515	interior_depth	Interior depth-resolved	Miguelito Dike	Site_3	0-15	Surface	1	Site_3	0-15	NA	1	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S3B6070	Site_3	Site_3	Miguelito Dike	4	Depth_50_75	S3B6070	S3B	4	50-75	Site_3	Sediment	28/09/2023	Miguelito Dike	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495	S3B6070	S3B6070	interior_depth	Interior depth-resolved	Miguelito Dike	Site_3	50-75	Deep	4	Site_3	50-70	NA	4	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S4B07	Site_4	Site_4	Reforma Waterfalls	1	Depth_0_15	S4B07	S4B	1	0-15	Site_4	Sediment	29/09/2023	Reforma Waterfalls	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544	S4B07	S4B07	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_4	0-15	Surface	1	Site_4	0-15	NA	1	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S4B1522	Site_4	Site_4	Reforma Waterfalls	2	Depth_16_30	S4B1522	S4B	2	16-30	Site_4	Sediment	29/09/2023	Reforma Waterfalls	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544	S4B1522	S4B1522	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_4	16-30	Mid	2	Site_4	16-30	NA	2	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S4B3040	Site_4	Site_4	Reforma Waterfalls	3	Depth_31_45	S4B3040	S4B	3	31-45	Site_4	Sediment	29/09/2023	Reforma Waterfalls	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544	S4B3040	S4B3040	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_4	31-45	Deep	3	Site_4	31-45	NA	3	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S4B5565	Site_4	Site_4	Reforma Waterfalls	4	Depth_50_75	S4B5565	S4B	4	50-75	Site_4	Sediment	29/09/2023	Reforma Waterfalls	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544	S4B5565	S4B5565	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_4	50-75	Deep	4	Site_4	50-70	NA	4	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S5A07	Site_5	Site_5	Reforma Waterfalls	1	Depth_0_15	S5A07	S5A	1	0-15	Site_5	Sediment	29/09/2023	Reforma Waterfalls	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468	S5A07	S5A07	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_5	0-15	Surface	1	Site_5	0-15	NA	1	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S5A1522	Site_5	Site_5	Reforma Waterfalls	2	Depth_16_30	S5A1522	S5A	2	16-30	Site_5	Sediment	29/09/2023	Reforma Waterfalls	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468	S5A1522	S5A1522	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_5	16-30	Mid	2	Site_5	16-30	NA	2	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S5A3040	Site_5	Site_5	Reforma Waterfalls	3	Depth_31_45	S5A3040	S5A	3	31-45	Site_5	Sediment	29/09/2023	Reforma Waterfalls	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468	S5A3040	S5A3040	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_5	31-45	Deep	3	Site_5	31-45	NA	3	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S5A5565	Site_5	Site_5	Reforma Waterfalls	4	Depth_50_75	S5A5565	S5A	4	50-75	Site_5	Sediment	29/09/2023	Reforma Waterfalls	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468	S5A5565	S5A5565	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_5	50-75	Deep	4	Site_5	50-70	NA	4	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
