sample_id	site_label_for_analysis	site_code_final	site_real_candidate	depth_final	network_group	Sample	ID	Depth	Depths	Site	Sample_type	Date	Location	Temp...C..int	Salnidad..ppm.int	Salinidad..ppt.int	pH.int	pHsup	Redox.medido.en.campo1	Redox.mV..Eh.int	Temperatura...C.sup	Salnidad..ppm.sup	Salinidad..ppt.sup	Redox.medido.en.campo	Redox.mV..Eh.sup	S.2..mg.l..campo	ml.de.muestra1	Factor.de.dilucion1	S.2..mg.l.	ID_M	SO.....mg.l..campo	ml.de.muestra2	Factor.de.dilucion2	SO.....mg.l.	sample_id_original	sample_id_clean	network_dataset	network_label	network_system	network_zone	depth_class_raw	depth_class	depth_raw	site_code_from_id	depth_from_id	site_code_network	depth_network	phyloseq_rds_candidate	matrix_source_candidate
S5B07	Site_5	Site_5	Reforma Waterfalls	1	Depth_0_15	S5B07	S5B	1	0-15	Site_5	Sediment	29/09/2023	Reforma Waterfalls	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534	S5B07	S5B07	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_5	0-15	Surface	1	Site_5	0-15	NA	1	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S5B1522	Site_5	Site_5	Reforma Waterfalls	2	Depth_16_30	S5B1522	S5B	2	16-30	Site_5	Sediment	29/09/2023	Reforma Waterfalls	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534	S5B1522	S5B1522	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_5	16-30	Mid	2	Site_5	16-30	NA	2	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S5B3040	Site_5	Site_5	Reforma Waterfalls	3	Depth_31_45	S5B3040	S5B	3	31-45	Site_5	Sediment	29/09/2023	Reforma Waterfalls	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534	S5B3040	S5B3040	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_5	31-45	Deep	3	Site_5	31-45	NA	3	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S5B5060	Site_5	Site_5	Reforma Waterfalls	4	Depth_50_75	S5B5060	S5B	4	50-75	Site_5	Sediment	29/09/2023	Reforma Waterfalls	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534	S5B5060	S5B5060	interior_depth	Interior depth-resolved	Reforma Waterfalls	Site_5	50-75	Deep	4	Site_5	50-70	NA	4	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S6A07	Site_6	Site_6	Fossil Lagoon	1	Depth_0_15	S6A07	S6A	1	0-15	Site_6	Sediment	30/09/2023	Fossil Lagoon	28.3	442.6	0.44	6.86	6.9	-170	65	27.5	435.6	0.44	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4	S6A07	S6A07	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_6	0-15	Surface	1	Site_6	0-15	NA	1	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S6A1522	Site_6	Site_6	Fossil Lagoon	2	Depth_16_30	S6A1522	S6A	2	16-30	Site_6	Sediment	30/09/2023	Fossil Lagoon	28.3	442.6	0.44	6.86	6.9	-170	65	27.5	435.6	0.44	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4	S6A1522	S6A1522	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_6	16-30	Mid	2	Site_6	16-30	NA	2	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S6A3040	Site_6	Site_6	Fossil Lagoon	3	Depth_31_45	S6A3040	S6A	3	31-45	Site_6	Sediment	30/09/2023	Fossil Lagoon	28.3	442.6	0.44	6.86	6.9	-170	65	27.5	435.6	0.44	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4	S6A3040	S6A3040	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_6	31-45	Deep	3	Site_6	31-45	NA	3	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S6B07	Site_6	Site_6	Fossil Lagoon	1	Depth_0_15	S6B07	S6B	1	0-15	Site_6	Sediment	30/09/2023	Fossil Lagoon	28.4	467.6	0.47	6.8	6.91	-165	70	27.5	438.6	0.44	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214	S6B07	S6B07	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_6	0-15	Surface	1	Site_6	0-15	NA	1	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S6B1522	Site_6	Site_6	Fossil Lagoon	2	Depth_16_30	S6B1522	S6B	2	16-30	Site_6	Sediment	30/09/2023	Fossil Lagoon	28.4	467.6	0.47	6.8	6.91	-165	70	27.5	438.6	0.44	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214	S6B1522	S6B1522	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_6	16-30	Mid	2	Site_6	16-30	NA	2	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S6B3040	Site_6	Site_6	Fossil Lagoon	3	Depth_31_45	S6B3040	S6B	3	31-45	Site_6	Sediment	30/09/2023	Fossil Lagoon	28.4	467.6	0.47	6.8	6.91	-165	70	27.5	438.6	0.44	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214	S6B3040	S6B3040	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_6	31-45	Deep	3	Site_6	31-45	NA	3	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S7A07	Site_7	Site_7	Fossil Lagoon	1	Depth_0_15	S7A07	S7A	1	0-15	Site_7	Sediment	30/09/2023	Fossil Lagoon	30.6	356.8	0.36	6.7	7.53	-190	45	31	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6	S7A07	S7A07	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_7	0-15	Surface	1	Site_7	0-15	NA	1	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S7A1522	Site_7	Site_7	Fossil Lagoon	2	Depth_16_30	S7A1522	S7A	2	16-30	Site_7	Sediment	30/09/2023	Fossil Lagoon	30.6	356.8	0.36	6.7	7.53	-190	45	31	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6	S7A1522	S7A1522	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_7	16-30	Mid	2	Site_7	16-30	NA	2	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S7A3040	Site_7	Site_7	Fossil Lagoon	3	Depth_31_45	S7A3040	S7A	3	31-45	Site_7	Sediment	30/09/2023	Fossil Lagoon	30.6	356.8	0.36	6.7	7.53	-190	45	31	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6	S7A3040	S7A3040	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_7	31-45	Deep	3	Site_7	31-45	NA	3	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S7A5060	Site_7	Site_7	Fossil Lagoon	4	Depth_50_75	S7A5060	S7A	4	50-75	Site_7	Sediment	30/09/2023	Fossil Lagoon	30.6	356.8	0.36	6.7	7.53	-190	45	31	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6	S7A5060	S7A5060	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_7	50-75	Deep	4	Site_7	50-70	NA	4	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S7B07	Site_7	Site_7	Fossil Lagoon	1	Depth_0_15	S7B07	S7B	1	0-15	Site_7	Sediment	30/09/2023	Fossil Lagoon	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150	S7B07	S7B07	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_7	0-15	Surface	1	Site_7	0-15	NA	1	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S7B1522	Site_7	Site_7	Fossil Lagoon	2	Depth_16_30	S7B1522	S7B	2	16-30	Site_7	Sediment	30/09/2023	Fossil Lagoon	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150	S7B1522	S7B1522	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_7	16-30	Mid	2	Site_7	16-30	NA	2	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S7B3040	Site_7	Site_7	Fossil Lagoon	3	Depth_31_45	S7B3040	S7B	3	31-45	Site_7	Sediment	30/09/2023	Fossil Lagoon	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150	S7B3040	S7B3040	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_7	31-45	Deep	3	Site_7	31-45	NA	3	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
S7B5060	Site_7	Site_7	Fossil Lagoon	4	Depth_50_75	S7B5060	S7B	4	50-75	Site_7	Sediment	30/09/2023	Fossil Lagoon	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150	S7B5060	S7B5060	interior_depth	Interior depth-resolved	Fossil Lagoon	Site_7	50-75	Deep	4	Site_7	50-70	NA	4	/home/fjbalvino/Compare_mangroves/interior_mangroves/phyloseq.rds	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/tables/interior_depth_metadata_clean.tsv
