SampleID	q0	q1	q2	Collection_date	depth	ID	Environmental_medium	Geographic.Location	Study_zone	Ecological_type	season	Mangrove_system	Mangrove_type	Depths
34	S5B1522	1824	376.288324114328	97.3826126225408	2023-09-29	16-30	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Mid
35	S5B3040	2229	571.873390298058	213.099004841683	2023-09-29	31-45	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Deep
36	S5B5060	1765	419.860597887763	156.67319769315	2023-09-29	50-70	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Deep
37	S6A07	1271	323.438416309749	100.695008036304	2023-09-30	0-15	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Surface
38	S6A1522	1349	405.23894099603	157.324878726456	2023-09-30	16-30	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Mid
39	S6A3040	1323	235.613264116804	62.5681093836545	2023-09-30	31-45	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep
40	S6B07	1081	197.20738891941	51.2459463710783	2023-09-30	0-15	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Surface
41	S6B1522	1223	263.157870319228	78.4890947342744	2023-09-30	16-30	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Mid
42	S6B3040	1492	337.443006381947	92.7660231947453	2023-09-30	31-45	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep
43	S7A07	1394	376.092089489386	112.977968991559	2023-09-30	0-15	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Surface
44	S7A1522	1405	418.316267890492	161.636407809051	2023-09-30	16-30	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Mid
