"ASV","Location","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"JN535993.1.1427","San Pedro River","d__Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19_marine_sediment_group","uncultured_organism"
"JN491062.1.1240","San Pedro River","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","Melioribacter","uncultured_organism"
"KC554917.1.1540","San Pedro River","d__Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14","uncultured_bacterium"
"FJ716424.1.1509","San Pedro River","d__Bacteria","Verrucomicrobiota","Chlamydiae","LD1-PA32","LD1-PA32","LD1-PA32","uncultured_bacterium"
"JF344422.1.1521","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081_sediment_group",NA
"EU487942.1.1538","San Pedro River","d__Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","uncultured","uncultured","uncultured_bacterium"
"GU553739.1.1513","San Pedro River","d__Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"HM186846.1.1329","San Pedro River","d__Bacteria","Chloroflexi","Dehalococcoidia","661239","661239","661239","uncultured_bacterium"
"EU488415.1.1464","San Pedro River","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031",NA
"FN428809.1.1342","San Pedro River","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1",NA
"AB899903.1.914","San Pedro River","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","uncultured_Thermoplasmatales"
"HM598204.1.1520","San Pedro River","d__Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_23",NA
"KC009994.1.1452","San Pedro River","d__Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","unidentified_bacterium"
"EF157274.1.1422","San Pedro River","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured",NA
"EU592444.1.1511","San Pedro River","d__Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","uncultured_bacterium"
"GU553660.1.1427","San Pedro River","d__Bacteria","Chloroflexi","Dehalococcoidia","Sh765B-AG-111","Sh765B-AG-111","Sh765B-AG-111","uncultured_bacterium"
"KF616606.1.1485","San Pedro River","d__Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_bacterium"
"DQ811822.1.1527","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans",NA
"HQ845896.1.1414","San Pedro River","d__Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41","uncultured_bacterium"
"DQ811880.1.1473","San Pedro River","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031",NA
"AM882598.1.1523","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081_sediment_group",NA
"DQ394969.1.1515","San Pedro River","d__Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","uncultured_delta"
"KX177282.1.1461","San Pedro River","d__Bacteria","Proteobacteria","Alphaproteobacteria","AT-s3-44","AT-s3-44","AT-s3-44","uncultured_bacterium"
"JX504296.1.1499","San Pedro River","d__Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured","uncultured_organism"
"KU243195.1.1310","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8","BD7-8","BD7-8","uncultured_bacterium"
"JX227674.1.1519","San Pedro River","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j",NA
"JF344636.1.1517","San Pedro River","d__Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22","uncultured_Acidobacteria"
"KT223232.1.1433","San Pedro River","d__Bacteria","Chloroflexi","Dehalococcoidia","SPG12-461-471-B8","SPG12-461-471-B8","SPG12-461-471-B8","uncultured_bacterium"
"JF747671.1.1500","San Pedro River","d__Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","Aminicenantales","Aminicenantales","uncultured_bacterium"
"KM071651.1.1502","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria","JTB23","JTB23","JTB23","uncultured_gamma"
"JX870319.1.916","San Pedro River","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1",NA
"AB250555.1.1420","San Pedro River","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Thermomarinilinea","uncultured_bacterium"
"JQ580399.1.1500","San Pedro River","d__Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",NA
"JN536787.1.1372","San Pedro River","d__Bacteria","Caldatribacteriota","JS1","JS1","JS1","JS1","uncultured_organism"
"HQ190503.1.1532","San Pedro River","d__Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadia","Geothermobacteraceae","Geothermobacter",NA
"JN825541.1.1413","San Pedro River","d__Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured",NA
"HQ003527.1.1497","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales",NA,NA,NA
"EF125424.1.1524","San Pedro River","d__Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured",NA
"HF922360.1.1534","San Pedro River","d__Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup_17","Subgroup_17","Subgroup_17","uncultured_bacterium"
