Location	mode	removal_fraction	median_largest_component_prop	q25	q75	q025	q975	n_boot
Fossil Lagoon	targeted	0.35000000000000003	0.02	0.015	0.03	0.01	0.055	500
Fossil Lagoon	targeted	0.4	0.015	0.01	0.02	0.005	0.035	500
Fossil Lagoon	targeted	0.45	0.01	0.01	0.015	0.005	0.025	500
Fossil Lagoon	targeted	0.5	0.01	0.005	0.01	0.005	0.02	500
Fossil Lagoon	targeted	0.55	0.005	0.005	0.01	0.005	0.015	500
Fossil Lagoon	targeted	0.6000000000000001	0.005	0.005	0.005	0.005	0.01	500
Fossil Lagoon	targeted	0.65	0.005	0.005	0.005	0.005	0.01	500
Fossil Lagoon	targeted	0.7000000000000001	0.005	0.005	0.005	0.005	0.005	500
Fossil Lagoon	targeted	0.75	0.005	0.005	0.005	0.005	0.005	500
Fossil Lagoon	targeted	0.8	0.005	0.005	0.005	0.005	0.005	500
Fossil Lagoon	targeted	0.8500000000000001	0.005	0.005	0.005	0.005	0.005	500
Fossil Lagoon	targeted	0.9	0.005	0.005	0.005	0.005	0.005	500
Miguelito Dike	targeted	0	0.625	0.595	0.66	0.52	0.7176249999999998	500
Miguelito Dike	targeted	0.05	0.55	0.515	0.58	0.437375	0.645	500
Miguelito Dike	targeted	0.1	0.465	0.43	0.5	0.347375	0.575	500
Miguelito Dike	targeted	0.15000000000000002	0.36	0.31	0.405	0.19737500000000002	0.4852499999999998	500
Miguelito Dike	targeted	0.2	0.19	0.12	0.265	0.05	0.36762499999999987	500
Miguelito Dike	targeted	0.25	0.065	0.045	0.105	0.02	0.2076249999999999	500
Miguelito Dike	targeted	0.30000000000000004	0.035	0.025	0.045	0.015	0.105	500
Miguelito Dike	targeted	0.35000000000000003	0.02	0.015	0.025	0.01	0.055	500
Miguelito Dike	targeted	0.4	0.015	0.01	0.02	0.005	0.035	500
Miguelito Dike	targeted	0.45	0.01	0.01	0.015	0.005	0.025	500
Miguelito Dike	targeted	0.5	0.005	0.005	0.01	0.005	0.015	500
Miguelito Dike	targeted	0.55	0.005	0.005	0.01	0.005	0.015	500
Miguelito Dike	targeted	0.6000000000000001	0.005	0.005	0.005	0.005	0.01	500
Miguelito Dike	targeted	0.65	0.005	0.005	0.005	0.005	0.01	500
Miguelito Dike	targeted	0.7000000000000001	0.005	0.005	0.005	0.005	0.005	500
Miguelito Dike	targeted	0.75	0.005	0.005	0.005	0.005	0.005	500
Miguelito Dike	targeted	0.8	0.005	0.005	0.005	0.005	0.005	500
Miguelito Dike	targeted	0.8500000000000001	0.005	0.005	0.005	0.005	0.005	500
Miguelito Dike	targeted	0.9	0.005	0.005	0.005	0.005	0.005	500
Reforma Waterfalls	targeted	0	0.59	0.545	0.63	0.437375	0.7176249999999998	500
Reforma Waterfalls	targeted	0.05	0.515	0.46875	0.56	0.36	0.645	500
Reforma Waterfalls	targeted	0.1	0.43	0.38	0.475	0.27237500000000003	0.57	500
Reforma Waterfalls	targeted	0.15000000000000002	0.305	0.235	0.37	0.08737500000000001	0.47262499999999985	500
Reforma Waterfalls	targeted	0.2	0.1225	0.08	0.19	0.03	0.3402499999999998	500
Reforma Waterfalls	targeted	0.25	0.05	0.035	0.075	0.015	0.1576249999999999	500
Reforma Waterfalls	targeted	0.30000000000000004	0.025	0.02	0.04	0.01	0.075	500
Reforma Waterfalls	targeted	0.35000000000000003	0.015	0.01375	0.025	0.005	0.04	500
Reforma Waterfalls	targeted	0.4	0.01	0.01	0.015	0.005	0.03	500
Reforma Waterfalls	targeted	0.45	0.01	0.005	0.01	0.005	0.025	500
Reforma Waterfalls	targeted	0.5	0.005	0.005	0.01	0.005	0.015	500
Reforma Waterfalls	targeted	0.55	0.005	0.005	0.005	0.005	0.01	500
Reforma Waterfalls	targeted	0.6000000000000001	0.005	0.005	0.005	0.005	0.01	500
Reforma Waterfalls	targeted	0.65	0.005	0.005	0.005	0.005	0.005	500
Reforma Waterfalls	targeted	0.7000000000000001	0.005	0.005	0.005	0.005	0.005	500
Reforma Waterfalls	targeted	0.75	0.005	0.005	0.005	0.005	0.005	500
Reforma Waterfalls	targeted	0.8	0.005	0.005	0.005	0.005	0.005	500
Reforma Waterfalls	targeted	0.8500000000000001	0.005	0.005	0.005	0.005	0.005	500
Reforma Waterfalls	targeted	0.9	0.005	0.005	0.005	0.005	0.005	500
