dataset	group	n_boot	n_nodes_mean	n_nodes_median	n_nodes_q025	n_nodes_q975	n_edges_mean	n_edges_median	n_edges_q025	n_edges_q975	edge_density_mean	edge_density_median	edge_density_q025	edge_density_q975	average_degree_mean	average_degree_median	average_degree_q025	average_degree_q975	largest_component_prop_mean	largest_component_prop_median	largest_component_prop_q025	largest_component_prop_q975	modularity_louvain_mean	modularity_louvain_median	modularity_louvain_q025	modularity_louvain_q975	natural_connectivity_mean	natural_connectivity_median	natural_connectivity_q025	natural_connectivity_q975	transitivity_mean	transitivity_median	transitivity_q025	transitivity_q975	prop_positive_mean	prop_positive_median	prop_positive_q025	prop_positive_q975	robustness_auc_random_mean	robustness_auc_random_median	robustness_auc_random_q025	robustness_auc_random_q975	robustness_auc_targeted_mean	robustness_auc_targeted_median	robustness_auc_targeted_q025	robustness_auc_targeted_q975
depth_natural	Coastal_natural	500	70	70	70	70	48	48	48	48	0.02	0.02	0.02	0.02	1.3714285714285714	1.3714285714285714	1.3714285714285714	1.3714285714285714	0.3381142857142857	0.35714285714285715	0.14285714285714285	0.5074999999999996	0.7087158379047538	0.7154030830783868	0.5619295124888941	0.8189958209864262	1.0194573396245619	0.9662375576741171	0.765424108971876	1.512226136274279	0.41260785272410294	0.39833379424778764	0.17790346907993965	0.7227692307692306	0.6339166666666667	0.625	0.5	0.8125	0.11866357142857144	0.11750000000000001	0.06278571428571429	0.18785714285714286	0.040664285714285715	0.039642857142857146	0.03035714285714286	0.05535714285714286
depth_natural	Interior_relict	500	70	70	70	70	48	48	48	48	0.02	0.02	0.02	0.02	1.3714285714285714	1.3714285714285714	1.3714285714285714	1.3714285714285714	0.5126571428571428	0.5142857142857142	0.42857142857142855	0.5857142857142857	0.5860438589182998	0.5859114563088288	0.4881077889649623	0.6817171384752354	0.8738371028152431	0.8622448558169131	0.7556432280399955	1.066602806023359	0.12776329916796295	0.12195121951219512	0.031302498090978514	0.23181366047745355	0.4985833333333333	0.5	0.375	0.625	0.17433857142857143	0.1735714285714286	0.11766964285714286	0.2301875	0.05040928571428572	0.05	0.04	0.0634017857142857
interior_impaired	Coastal_impaired	500	64	64	64	64	40	40	40	40	0.02	0.02	0.02	0.02	1.25	1.25	1.25	1.25	0.32875	0.34375	0.171875	0.46875	0.5492808741799933	0.560872774766945	0.2706152038829872	0.7125654712800209	1.2904853803525245	1.1804114830797046	0.8135421383461422	2.567809325132206	0.46413514583815935	0.4516911140744333	0.25999843407453804	0.7494751741467602	0.46655	0.475	0.325	0.625	0.12319453125	0.11992187500000001	0.06971679687500001	0.19183593749999997	0.0382609375	0.037500000000000006	0.02734375	0.053125000000000006
interior_impaired	Interior_relict	500	64	64	64	64	40	40	40	40	0.02	0.02	0.02	0.02	1.25	1.25	1.25	1.25	0.4455	0.453125	0.328125	0.53125	0.5681199803957032	0.5702693498095215	0.4396745326066299	0.6885911928231755	0.8887532592693413	0.8664948229991629	0.7337825546053809	1.1317643479493689	0.2110636166874275	0.2058823529411765	0.07894736842105263	0.372065913945682	0.4945	0.5	0.35	0.65	0.15613828125	0.15566406250000003	0.09375	0.21835937500000002	0.043925000000000006	0.04296875	0.034375	0.058798828124999994
