dataset	group	n_stable_edges	median_detection_frequency	median_abs_weight	prop_positive_stable_edges
depth_natural	Coastal_natural	5	0.528	0.13336446015311215	0.8
interior_impaired	Coastal_impaired	1	0.524	0.11702893819184235	1
