n_nodes	n_edges	density	average_degree	max_degree	components	largest_component_prop	transitivity	natural_connectivity	average_path_length_lcc	modularity_louvain	prop_positive_edges	mean_abs_weight	robustness_auc_random	robustness_auc_targeted	dataset	network_group	bootstrap_id	n_samples_group	n_subsample	edge_density_target	ridge_lambda
200	398	0.02	3.98	17	66	0.38	0.744295545092358	6.09211396001635	4.53789473684211	0.836894901643898	0.85929648241206	0.0371965402007031	0.116	0.039	depth_natural	Coastal_natural	1	13	13	0.02	0.1
200	398	0.02	3.98	21	44	0.715	0.462890625	4.35223573230184	4.50832266325224	0.74310939117699	0.804020100502513	0.0381266780318311	0.278375	0.094375	depth_natural	Coastal_natural	2	13	13	0.02	0.1
200	398	0.02	3.98	16	103	0.215	0.783161239078634	7.77071117757183	3.06866002214839	0.769889017954092	0.896984924623116	0.0368229216809236	0.079125	0.030125	depth_natural	Coastal_natural	3	13	13	0.02	0.1
200	398	0.02	3.98	17	71	0.635	0.616504854368932	5.97307736437428	4.36995375578053	0.716733794601147	0.736180904522613	0.0358663500135235	0.236375	0.091875	depth_natural	Coastal_natural	4	13	13	0.02	0.1
200	398	0.02	3.98	18	92	0.535	0.668217505088689	6.13356317008065	3.71698113207547	0.740858816696548	0.814070351758794	0.0348651067480246	0.182875	0.070125	depth_natural	Coastal_natural	5	13	13	0.02	0.1
200	398	0.02	3.98	18	94	0.48	0.623042836041359	6.54973099292999	4.11425438596491	0.742957879851519	0.937185929648241	0.0382674784728952	0.19925	0.05125	depth_natural	Coastal_natural	6	13	13	0.02	0.1
200	398	0.02	3.98	17	84	0.49	0.681684622918707	6.90935537466278	4.19776982958132	0.778310522461554	0.924623115577889	0.0376475222915667	0.20025	0.07175	depth_natural	Coastal_natural	7	13	13	0.02	0.1
200	398	0.02	3.98	31	74	0.555	0.474766867800329	5.76794537838716	3.13677313677314	0.674348501300472	0.881909547738693	0.0377524272944756	0.237375	0.066125	depth_natural	Coastal_natural	8	13	13	0.02	0.1
200	398	0.02	3.98	18	95	0.41	0.664583925021301	6.73173502529491	3.42999096657633	0.698921744400394	0.886934673366834	0.0379068219669755	0.17775	0.07	depth_natural	Coastal_natural	9	13	13	0.02	0.1
200	398	0.02	3.98	31	66	0.6	0.421714285714286	5.84286911689979	3.32240896358543	0.665166283679705	0.776381909547739	0.0405503073358337	0.23275	0.072	depth_natural	Coastal_natural	10	13	13	0.02	0.1
200	398	0.02	3.98	24	80	0.58	0.431318681318681	5.22251113812475	3.29955022488756	0.600079543445873	0.688442211055276	0.0407922784531153	0.233	0.11625	depth_natural	Coastal_natural	11	13	13	0.02	0.1
200	398	0.02	3.98	23	56	0.645	0.60069848661234	4.76391096811062	4.99781976744186	0.767265978131865	0.879396984924623	0.040432898224837	0.237125	0.079375	depth_natural	Coastal_natural	12	13	13	0.02	0.1
200	398	0.02	3.98	20	82	0.545	0.554146341463415	5.07793914100906	3.62181447502548	0.713353198151562	0.821608040201005	0.0427029759362406	0.228375	0.081125	depth_natural	Coastal_natural	13	13	13	0.02	0.1
200	398	0.02	3.98	14	84	0.415	0.751905972045743	6.81454049474027	4.38701146047605	0.774825761975708	0.836683417085427	0.0364878362268889	0.145125	0.070375	depth_natural	Coastal_natural	14	13	13	0.02	0.1
200	398	0.02	3.98	15	84	0.5	0.7708082026538	7.03863716482653	4.62444444444444	0.77365470568925	0.876884422110553	0.0349802785165704	0.144	0.09025	depth_natural	Coastal_natural	15	13	13	0.02	0.1
200	398	0.02	3.98	18	77	0.56	0.694390715667311	6.87777595164231	4.42454954954955	0.766322188833615	0.821608040201005	0.0331948007069293	0.2265	0.092	depth_natural	Coastal_natural	16	13	13	0.02	0.1
200	398	0.02	3.98	23	121	0.36	0.759972954699121	8.7259236700937	3.31572769953052	0.679985985202394	0.907035175879397	0.0363739153879864	0.126	0.054	depth_natural	Coastal_natural	17	13	13	0.02	0.1
200	398	0.02	3.98	17	65	0.65	0.530163236337828	5.87523282722337	4.40417412045319	0.703331355268806	0.778894472361809	0.036073533268718	0.21725	0.08175	depth_natural	Coastal_natural	18	13	13	0.02	0.1
200	398	0.02	3.98	18	87	0.475	0.738920454545455	7.61089423923459	4.46047032474804	0.75278402060554	0.85678391959799	0.0331543621176848	0.169625	0.077125	depth_natural	Coastal_natural	19	13	13	0.02	0.1
200	398	0.02	3.98	17	100	0.43	0.741456953642384	7.59505130785796	4.73351573187414	0.717447160425242	0.891959798994975	0.0347718106812119	0.1675	0.05225	depth_natural	Coastal_natural	20	13	13	0.02	0.1
200	398	0.02	3.98	20	77	0.56	0.473881764153894	5.22921071054685	3.38175675675676	0.665889118961642	0.71105527638191	0.0411953759328391	0.22875	0.0825	depth_natural	Coastal_natural	21	13	13	0.02	0.1
