dataset	network_group	metric	mean	sd	median	q025	q975
interior_impaired	Interior_relict	robustness_auc_random	0.25002	0.0223733469112256	0.25125	0.201290625	0.28478125
interior_impaired	Interior_relict	robustness_auc_targeted	0.07612375	0.0115325829515844	0.0758125	0.0569375	0.10019375
interior_depth	Depth_0_15	n_edges	398	0	398	398	398
interior_depth	Depth_0_15	density	0.02	0	0.02	0.02	0.02
interior_depth	Depth_0_15	average_degree	3.98	0	3.98	3.98	3.98
interior_depth	Depth_0_15	max_degree	21.745	3.31131378684879	21	17	29
interior_depth	Depth_0_15	components	83.85	13.1480743569727	84	59	112.05
interior_depth	Depth_0_15	largest_component_prop	0.58375	0.0649888857912021	0.585	0.44475	0.700125
interior_depth	Depth_0_15	transitivity	0.339325590449334	0.059089239165647	0.335692901467294	0.256003227923926	0.498280425963393
interior_depth	Depth_0_15	natural_connectivity	5.67898210906622	1.25264869998156	5.46145910610867	3.85624259445168	8.48787345877509
interior_depth	Depth_0_15	average_path_length_lcc	3.02093464685744	0.20883863323342	3.00813554306008	2.66337960076252	3.45466165201713
interior_depth	Depth_0_15	modularity_louvain	0.496108368475544	0.0376707321865713	0.491736319789904	0.429519772227974	0.57099173631979
interior_depth	Depth_0_15	prop_positive_edges	0.602650753768844	0.0344481290565539	0.605527638190955	0.532600502512563	0.660804020100503
interior_depth	Depth_0_15	mean_abs_weight	0.0352034072591378	0.00402582769036085	0.0354816916274822	0.0251559319982479	0.0423764505946727
interior_depth	Depth_0_15	robustness_auc_random	0.256465	0.0287985883936581	0.256875	0.1970625	0.3097875
interior_depth	Depth_0_15	robustness_auc_targeted	0.09491875	0.0175519050330426	0.0953125	0.061240625	0.1277875
interior_depth	Depth_16_30	n_edges	398	0	398	398	398
interior_depth	Depth_16_30	density	0.02	0	0.02	0.02	0.02
interior_depth	Depth_16_30	average_degree	3.98	0	3.98	3.98	3.98
interior_depth	Depth_16_30	max_degree	21.175	2.80422778449553	21	16.975	27
interior_depth	Depth_16_30	components	82.88	12.3530803026947	81.5	59.975	109
interior_depth	Depth_16_30	largest_component_prop	0.5889	0.0609290715405542	0.595	0.46	0.70025
interior_depth	Depth_16_30	transitivity	0.351796457115953	0.0511734667990061	0.34589509725554	0.270760799484204	0.481071384294166
interior_depth	Depth_16_30	natural_connectivity	5.68706862710935	1.18774201614236	5.47878291834177	3.82072764695648	8.21844084402602
interior_depth	Depth_16_30	average_path_length_lcc	3.06363617577237	0.242526676533415	3.04026536264223	2.67101292268027	3.53476650400578
interior_depth	Depth_16_30	modularity_louvain	0.511072668619479	0.0406257724810113	0.508644036766748	0.4374760107068	0.587137240852504
interior_depth	Depth_16_30	prop_positive_edges	0.619685929648241	0.0339824847002424	0.620603015075377	0.545226130653266	0.695979899497487
interior_depth	Depth_16_30	mean_abs_weight	0.0351619717882965	0.00432703923111713	0.0347905962199538	0.0274516463321161	0.0431968559794631
interior_depth	Depth_16_30	robustness_auc_random	0.25722875	0.0267589131524996	0.2575625	0.20396875	0.312125
interior_depth	Depth_16_30	robustness_auc_targeted	0.09511875	0.0184543940359381	0.0949375	0.0618375	0.132009375
interior_depth	Depth_31_45	n_edges	398	0	398	398	398
interior_depth	Depth_31_45	density	0.02	0	0.02	0.02	0.02
interior_depth	Depth_31_45	average_degree	3.98	0	3.98	3.98	3.98
interior_depth	Depth_31_45	max_degree	22.04	3.41713094855875	21	17	30
interior_depth	Depth_31_45	components	86.035	11.737658974044	85	66.975	112
interior_depth	Depth_31_45	largest_component_prop	0.573375	0.0583373861956525	0.5775	0.445	0.670125
interior_depth	Depth_31_45	transitivity	0.343590706953603	0.0522493035094214	0.335150549320258	0.273582939829042	0.440482571990885
interior_depth	Depth_31_45	natural_connectivity	5.86305576330145	1.19876802933325	5.70475065426398	4.16445575149235	8.45593126210798
interior_depth	Depth_31_45	average_path_length_lcc	2.9781500175315	0.206492457875917	2.96836457934511	2.61004479283315	3.42560318624882
interior_depth	Depth_31_45	modularity_louvain	0.492365991389106	0.0364366653416842	0.491939913133507	0.426409134239034	0.556053035276887
interior_depth	Depth_31_45	prop_positive_edges	0.575376884422111	0.0355142505608919	0.57286432160804	0.514824120603015	0.655967336683417
interior_depth	Depth_31_45	mean_abs_weight	0.0356152469301368	0.00391078150145297	0.0361594341313108	0.0270354729908445	0.0423049903228754
interior_depth	Depth_31_45	robustness_auc_random	0.252018125	0.0250979750951898	0.251	0.2031875	0.297884375
interior_depth	Depth_31_45	robustness_auc_targeted	0.091010625	0.0165771465176524	0.091375	0.0586	0.120953125
interior_depth	Depth_50_75	n_edges	398	0	398	398	398
interior_depth	Depth_50_75	density	0.02	0	0.02	0.02	0.02
interior_depth	Depth_50_75	average_degree	3.98	0	3.98	3.98	3.98
interior_depth	Depth_50_75	max_degree	25.895	4.50169984645108	25	19	35.025
interior_depth	Depth_50_75	components	97.645	11.5540666990645	97	77.975	121
interior_depth	Depth_50_75	largest_component_prop	0.51625	0.0577874071239622	0.52	0.39975	0.615125
interior_depth	Depth_50_75	transitivity	0.358231421485213	0.0550735154917128	0.352771627807798	0.269675185054437	0.475209789729037
interior_depth	Depth_50_75	natural_connectivity	6.99615734685637	1.35022739821891	6.80318362478796	5.03739451348468	9.94304397243867
interior_depth	Depth_50_75	average_path_length_lcc	2.74092239029196	0.197640815103045	2.72765715030894	2.37109422317267	3.14250068173297
interior_depth	Depth_50_75	modularity_louvain	0.451500814373374	0.0392418336209163	0.449603545365016	0.378237134163279	0.532990091790611
interior_depth	Depth_50_75	prop_positive_edges	0.631281407035176	0.0529410362443411	0.628140703517588	0.532223618090452	0.736306532663317
interior_depth	Depth_50_75	mean_abs_weight	0.0362409522699973	0.00485785399755376	0.0366549882811722	0.0271851451577296	0.0448055947261918
interior_depth	Depth_50_75	robustness_auc_random	0.2314875	0.0260005435776189	0.2325	0.177421875	0.282765625
interior_depth	Depth_50_75	robustness_auc_targeted	0.07297	0.0141975100000319	0.0725625	0.047334375	0.098775
