removal_fraction	largest_component_fraction_original_nodes	dataset	network_group	bootstrap_id	attack_mode
0.95	0.015	depth_natural	Coastal_natural	3	random
1	0	depth_natural	Coastal_natural	3	random
0	0.215	depth_natural	Coastal_natural	3	targeted
0.05	0.11	depth_natural	Coastal_natural	3	targeted
0.1	0.105	depth_natural	Coastal_natural	3	targeted
0.15	0.085	depth_natural	Coastal_natural	3	targeted
0.2	0.04	depth_natural	Coastal_natural	3	targeted
0.25	0.035	depth_natural	Coastal_natural	3	targeted
0.3	0.02	depth_natural	Coastal_natural	3	targeted
0.35	0.02	depth_natural	Coastal_natural	3	targeted
0.4	0.015	depth_natural	Coastal_natural	3	targeted
0.45	0.01	depth_natural	Coastal_natural	3	targeted
0.5	0.01	depth_natural	Coastal_natural	3	targeted
0.55	0.005	depth_natural	Coastal_natural	3	targeted
0.6	0.005	depth_natural	Coastal_natural	3	targeted
0.65	0.005	depth_natural	Coastal_natural	3	targeted
0.7	0.005	depth_natural	Coastal_natural	3	targeted
0.75	0.005	depth_natural	Coastal_natural	3	targeted
0.8	0.005	depth_natural	Coastal_natural	3	targeted
0.85	0.005	depth_natural	Coastal_natural	3	targeted
0.9	0.005	depth_natural	Coastal_natural	3	targeted
0.95	0.005	depth_natural	Coastal_natural	3	targeted
1	0	depth_natural	Coastal_natural	3	targeted
0	0.635	depth_natural	Coastal_natural	4	random
0.05	0.57	depth_natural	Coastal_natural	4	random
0.1	0.54	depth_natural	Coastal_natural	4	random
0.15	0.475	depth_natural	Coastal_natural	4	random
0.2	0.435	depth_natural	Coastal_natural	4	random
0.25	0.41	depth_natural	Coastal_natural	4	random
0.3	0.375	depth_natural	Coastal_natural	4	random
0.35	0.345	depth_natural	Coastal_natural	4	random
0.4	0.32	depth_natural	Coastal_natural	4	random
0.45	0.285	depth_natural	Coastal_natural	4	random
0.5	0.17	depth_natural	Coastal_natural	4	random
0.55	0.125	depth_natural	Coastal_natural	4	random
0.6	0.11	depth_natural	Coastal_natural	4	random
0.65	0.07	depth_natural	Coastal_natural	4	random
0.7	0.055	depth_natural	Coastal_natural	4	random
0.75	0.05	depth_natural	Coastal_natural	4	random
0.8	0.03	depth_natural	Coastal_natural	4	random
0.85	0.02	depth_natural	Coastal_natural	4	random
0.9	0.015	depth_natural	Coastal_natural	4	random
0.95	0.01	depth_natural	Coastal_natural	4	random
1	0	depth_natural	Coastal_natural	4	random
0	0.635	depth_natural	Coastal_natural	4	targeted
0.05	0.535	depth_natural	Coastal_natural	4	targeted
0.1	0.325	depth_natural	Coastal_natural	4	targeted
0.15	0.255	depth_natural	Coastal_natural	4	targeted
0.2	0.145	depth_natural	Coastal_natural	4	targeted
0.25	0.07	depth_natural	Coastal_natural	4	targeted
0.3	0.06	depth_natural	Coastal_natural	4	targeted
0.35	0.03	depth_natural	Coastal_natural	4	targeted
0.4	0.015	depth_natural	Coastal_natural	4	targeted
0.45	0.015	depth_natural	Coastal_natural	4	targeted
0.5	0.015	depth_natural	Coastal_natural	4	targeted
0.55	0.01	depth_natural	Coastal_natural	4	targeted
0.6	0.01	depth_natural	Coastal_natural	4	targeted
0.65	0.005	depth_natural	Coastal_natural	4	targeted
0.7	0.005	depth_natural	Coastal_natural	4	targeted
0.75	0.005	depth_natural	Coastal_natural	4	targeted
0.8	0.005	depth_natural	Coastal_natural	4	targeted
0.85	0.005	depth_natural	Coastal_natural	4	targeted
0.9	0.005	depth_natural	Coastal_natural	4	targeted
0.95	0.005	depth_natural	Coastal_natural	4	targeted
1	0	depth_natural	Coastal_natural	4	targeted
0	0.535	depth_natural	Coastal_natural	5	random
0.05	0.5	depth_natural	Coastal_natural	5	random
0.1	0.435	depth_natural	Coastal_natural	5	random
0.15	0.41	depth_natural	Coastal_natural	5	random
0.2	0.385	depth_natural	Coastal_natural	5	random
0.25	0.345	depth_natural	Coastal_natural	5	random
0.3	0.215	depth_natural	Coastal_natural	5	random
0.35	0.21	depth_natural	Coastal_natural	5	random
0.4	0.2	depth_natural	Coastal_natural	5	random
0.45	0.17	depth_natural	Coastal_natural	5	random
0.5	0.13	depth_natural	Coastal_natural	5	random
0.55	0.115	depth_natural	Coastal_natural	5	random
0.6	0.1	depth_natural	Coastal_natural	5	random
0.65	0.05	depth_natural	Coastal_natural	5	random
0.7	0.03	depth_natural	Coastal_natural	5	random
0.75	0.03	depth_natural	Coastal_natural	5	random
0.8	0.03	depth_natural	Coastal_natural	5	random
0.85	0.015	depth_natural	Coastal_natural	5	random
0.9	0.015	depth_natural	Coastal_natural	5	random
0.95	0.005	depth_natural	Coastal_natural	5	random
1	0	depth_natural	Coastal_natural	5	random
0	0.535	depth_natural	Coastal_natural	5	targeted
0.05	0.4	depth_natural	Coastal_natural	5	targeted
0.1	0.27	depth_natural	Coastal_natural	5	targeted
0.15	0.21	depth_natural	Coastal_natural	5	targeted
0.2	0.055	depth_natural	Coastal_natural	5	targeted
0.25	0.055	depth_natural	Coastal_natural	5	targeted
0.3	0.045	depth_natural	Coastal_natural	5	targeted
0.35	0.02	depth_natural	Coastal_natural	5	targeted
0.4	0.015	depth_natural	Coastal_natural	5	targeted
0.45	0.01	depth_natural	Coastal_natural	5	targeted
0.5	0.01	depth_natural	Coastal_natural	5	targeted
0.55	0.005	depth_natural	Coastal_natural	5	targeted
0.6	0.005	depth_natural	Coastal_natural	5	targeted
0.65	0.005	depth_natural	Coastal_natural	5	targeted
0.7	0.005	depth_natural	Coastal_natural	5	targeted
0.75	0.005	depth_natural	Coastal_natural	5	targeted
0.8	0.005	depth_natural	Coastal_natural	5	targeted
0.85	0.005	depth_natural	Coastal_natural	5	targeted
0.9	0.005	depth_natural	Coastal_natural	5	targeted
0.95	0.005	depth_natural	Coastal_natural	5	targeted
1	0	depth_natural	Coastal_natural	5	targeted
0	0.48	depth_natural	Coastal_natural	6	random
0.05	0.455	depth_natural	Coastal_natural	6	random
0.1	0.435	depth_natural	Coastal_natural	6	random
0.15	0.41	depth_natural	Coastal_natural	6	random
0.2	0.37	depth_natural	Coastal_natural	6	random
0.25	0.345	depth_natural	Coastal_natural	6	random
0.3	0.32	depth_natural	Coastal_natural	6	random
0.35	0.275	depth_natural	Coastal_natural	6	random
0.4	0.26	depth_natural	Coastal_natural	6	random
0.45	0.205	depth_natural	Coastal_natural	6	random
