id	SampleID	Collection_date	depth	ID	Environmental_medium	Geographic Location	Study_zone	Ecological_type	season
S3A6070	S3A6070	2023-09-28	50-70	S3A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S3B515	S3B515	2023-09-28	0-15	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S3B2030	S3B2030	2023-09-28	16-30	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S3B3545	S3B3545	2023-09-28	31-45	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S3B6070	S3B6070	2023-09-28	50-70	S3B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S4B07	S4B07	2023-09-29	0-15	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S4B1522	S4B1522	2023-09-29	16-30	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S4B3040	S4B3040	2023-09-29	31-45	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S4B5565	S4B5565	2023-09-29	50-70	S4B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S5A07	S5A07	2023-09-29	0-15	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S5A1522	S5A1522	2023-09-29	16-30	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S5A3040	S5A3040	2023-09-29	31-45	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S5A5565	S5A5565	2023-09-29	50-70	S5A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S5B07	S5B07	2023-09-29	0-15	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S5B1522	S5B1522	2023-09-29	16-30	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S5B3040	S5B3040	2023-09-29	31-45	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S5B5060	S5B5060	2023-09-29	50-70	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood
S6A07	S6A07	2023-09-30	0-15	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S6A1522	S6A1522	2023-09-30	16-30	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S6A3040	S6A3040	2023-09-30	31-45	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S6B07	S6B07	2023-09-30	0-15	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S6B1522	S6B1522	2023-09-30	16-30	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S6B3040	S6B3040	2023-09-30	31-45	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S7A07	S7A07	2023-09-30	0-15	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S7A1522	S7A1522	2023-09-30	16-30	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S7A3040	S7A3040	2023-09-30	31-45	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S7A5060	S7A5060	2023-09-30	50-70	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S7B07	S7B07	2023-09-30	0-15	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S7B1522	S7B1522	2023-09-30	16-30	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
