Phylum	Depth	mean_abundance_Fossil	mean_abundance_Miguelito	mean_abundance_Reforma	sd_abundance_Fossil	sd_abundance_Miguelito	sd_abundance_Reforma
Acidobacteriota	0-15	6.95825132056019	5.2748979998407	5.58773563585512	0.807738381083874	1.74643471888716	1.34742102142228
Acidobacteriota	16-30	7.16546096743035	6.47782493169663	4.46670482009262	0.86954823537847	0.844802113725959	0.71667676603097
Acidobacteriota	31-45	6.64772635022769	6.50294756711325	4.76922773157515	1.00545937195187	1.20749348652698	1.18859081105498
Acidobacteriota	50-75	8.86593305790322	6.11897844022907	6.40173550667033	1.86935187297598	1.58155426812129	1.01643169139496
Actinobacteriota	0-15	3.74696673269966	3.51541440295727	4.22888016509623	1.19152537504855	1.38568074607278	1.42098937997465
Actinobacteriota	16-30	2.84029835305973	2.30979231237969	3.52485210001198	0.748002392788742	0.685715714559527	0.974536066166457
Actinobacteriota	31-45	3.73341070993772	2.76655925353165	2.78318930487655	0.892608607224067	0.788318514078589	0.979026282167134
Actinobacteriota	50-75	3.0453718181474	3.1482713899259	2.39547235264359	1.2425667223733	1.81670340256312	0.904665092126389
Armatimonadota	0-15	0.0361493663006857	0.193456020591859	0.0291920682534196	0.0333798748169045	0.215998329893174	0.0163479142026655
Armatimonadota	16-30	0.231230386889957	0.406734278178777	0.10565856106545	0.068697553204057	0.200259325610391	0.0746475908970433
Armatimonadota	31-45	0.338889559453524	0.395997544011097	0.262733108663759	0.106227232506548	0.169359483246896	0.17487097906074
Armatimonadota	50-75	0.495524523534122	0.475585948270863	0.353658759074196	0.170156422426662	0.18589106072056	0.121208954661472
Bacteroidota	0-15	7.08353403328132	6.05629176593576	7.39884382114821	1.00149169516737	1.67794784438752	2.1817983469799
Bacteroidota	16-30	6.5102712327859	4.36967132912627	5.35156577603046	1.27585743670352	0.459066837525129	0.720521537042672
Bacteroidota	31-45	6.31879541555213	4.68627683304605	4.937519852002	0.619126298318219	1.08395520622992	0.136018248532532
Bacteroidota	50-75	4.87626059136741	4.13134147404875	3.89729057622339	1.20838557037991	0.797050899379911	0.140482479745537
Calditrichota	0-15	0.0766632804949796	0.414803419058978	0.342708936407469	0.0461427256403605	0.266304895784826	0.239240249967736
Calditrichota	16-30	0.216320598818801	0.604001945354142	0.416304528083456	0.0888348165929689	0.191613683317984	0.215588728636361
Calditrichota	31-45	0.241976921444425	0.459709832403177	0.396180270422644	0.0669344282209077	0.0784208091795636	0.0676951666581178
Calditrichota	50-75	0.286403769582159	0.471003205492504	0.409099570919153	0.0506603833650556	0.231779340685416	0.17869661424675
Chloroflexi	0-15	5.25793996449198	12.4743486465271	3.07650059687874	1.40714511226619	9.93924561737369	2.13725241220088
Chloroflexi	16-30	10.4218400479328	22.7102793269928	7.78718287100628	3.1540002789464	8.53920634586347	4.58087846320973
Chloroflexi	31-45	12.0281482898137	21.1694046820135	13.977622346069	3.89896046271627	8.10413550516173	6.42103011426122
Chloroflexi	50-75	17.2010109157709	23.5827411112001	20.040464146325	9.18482363755242	6.54139341752892	3.94320262532297
Crenarchaeota	0-15	0.160991709764705	1.31121598306018	0.171123685331131	0.0869431498266385	1.58688469558829	0.151845876531835
Crenarchaeota	16-30	0.899089453794233	3.53720105864503	0.61861627332671	0.360125715390874	1.8378471996727	0.473925567787901
Crenarchaeota	31-45	1.17908643294158	2.63804964212728	1.78993612746485	0.604426060331308	1.66382089233499	1.52329224891012
Crenarchaeota	50-75	1.95570021132159	4.67510649654245	3.80831852226236	1.52075032818478	4.48882921897036	2.61221680614715
Desulfobacterota	0-15	4.82352264134493	5.91157458734945	5.12553324932485	1.66458894501942	3.29127694506047	3.59520858154045
Desulfobacterota	16-30	4.83189695667133	5.770138691744	5.51438696335946	1.29014388839483	2.04953370090492	2.75168649754404
Desulfobacterota	31-45	4.04340308461567	4.55137091190329	5.94873702164354	0.723501560917644	0.79059489207631	1.68247489714261
Desulfobacterota	50-75	4.52317257961674	4.8359789336518	4.71639733785634	0.172537322632848	2.60817662265615	2.08831539601586
Firmicutes	0-15	13.3344513694301	14.8370339741049	16.5535346661666	3.59936940307772	8.37701070353539	8.37179993823561
Firmicutes	16-30	9.31817312523172	10.2972953444132	13.10589519972	2.80179569513123	5.98569767722693	6.42162679558394
Firmicutes	31-45	13.2397417117076	12.5287114233893	10.7118561941462	3.26734148466976	3.06348977425578	5.44669147536227
Firmicutes	50-75	12.0622301172634	10.2309174468199	11.0584638718305	6.42636139736335	2.10397912572012	5.76830700796948
GAL15	0-15	0.113791049134983	0.0633074432565197	0.0526884116997446	0.079132947039852	0.102224008720684	0.0108074846999839
GAL15	16-30	0.24392259075395	0.0538953507519811	0.0555691680200682	0.101514410621439	0.0400517685119753	0.0210280997710176
GAL15	31-45	0.173689823187154	0.0575907753842537	0.067162318640936	0.0963446437117971	0.0428552704384429	0.036288257964074
GAL15	50-75	0.126651340744519	0.0455266268880166	0.0364628854380087	0.0104065851863656	0.0295914584047461	0.0372665812836304
Gemmatimonadota	0-15	2.38565084902885	0.831637927851578	1.36623069678287	0.724167281528856	0.872544647491388	0.130876688369532
Gemmatimonadota	16-30	2.60511135215043	0.811506434177693	1.21586113462586	0.470850578357968	0.560248152577753	0.137478365893351
Gemmatimonadota	31-45	1.79322533420508	0.668148647801056	1.04715585692556	0.442249923259278	0.654938953583863	0.230956815079351
Gemmatimonadota	50-75	0.747792433200109	0.601144731156415	0.779527317330613	0.457040972032018	0.665566775668523	0.459821994194825
