dataset	group	mode	removal_fraction	n_boot	mean_largest_component_prop	median_largest_component_prop	q25	q75	q025	q975	dataset_label	group_label	mode_label
depth_natural	Coastal_natural	random	0	500	0.3381142857142857	0.35714285714285715	0.2571428571428571	0.4142857142857143	0.14285714285714285	0.5074999999999996	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.05	500	0.3075714285714286	0.3142857142857143	0.22857142857142856	0.3857142857142858	0.1285714285714286	0.4714285714285714	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.1	500	0.2677142857142857	0.2571428571428571	0.18571428571428572	0.34285714285714286	0.11428571428571428	0.4360714285714282	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.15000000000000002	500	0.24197142857142856	0.22857142857142856	0.17142857142857143	0.3142857142857142	0.1	0.4	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.2	500	0.20965714285714288	0.2	0.14285714285714288	0.27142857142857146	0.08571428571428572	0.3571428571428572	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.25	500	0.1896	0.17142857142857143	0.12857142857142856	0.24285714285714283	0.08571428571428572	0.34285714285714286	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.30000000000000004	500	0.16245714285714286	0.15714285714285714	0.11428571428571428	0.2	0.07142857142857142	0.30749999999999966	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.35000000000000003	500	0.14425714285714286	0.1285714285714286	0.1	0.1857142857142857	0.05714285714285714	0.29321428571428537	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.4	500	0.12185714285714284	0.11428571428571428	0.0857142857142857	0.15714285714285714	0.04285714285714285	0.2503571428571425	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.45	500	0.10837142857142858	0.1	0.07142857142857142	0.1285714285714286	0.04285714285714286	0.22857142857142856	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.5	500	0.09014285714285714	0.07857142857142857	0.05714285714285714	0.11428571428571428	0.04285714285714286	0.18571428571428572	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.55	500	0.08082857142857143	0.07142857142857142	0.05714285714285714	0.1	0.02857142857142857	0.17142857142857143	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.6000000000000001	500	0.06634285714285715	0.05714285714285714	0.04285714285714286	0.07142857142857144	0.02857142857142857	0.14285714285714288	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.65	500	0.05797142857142857	0.05714285714285715	0.04285714285714286	0.07142857142857144	0.02857142857142857	0.13607142857142826	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.7000000000000001	500	0.04717142857142856	0.04285714285714285	0.02857142857142856	0.05714285714285713	0.01428571428571428	0.10749999999999968	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.75	500	0.0401142857142857	0.02857142857142856	0.02857142857142856	0.04285714285714285	0.01428571428571428	0.0857142857142857	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.8	500	0.03211428571428571	0.02857142857142857	0.02857142857142857	0.04285714285714286	0.01428571428571428	0.07142857142857144	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.8500000000000001	500	0.02631428571428571	0.02857142857142857	0.01428571428571428	0.02857142857142857	0.01428571428571428	0.05714285714285714	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	random	0.9	500	0.01951428571428571	0.01428571428571428	0.01428571428571428	0.02857142857142857	0.01428571428571428	0.04285714285714286	Interior vs coastal natural	Coastal natural	Random removal
depth_natural	Coastal_natural	targeted	0	500	0.3381142857142857	0.35714285714285715	0.2571428571428571	0.4142857142857143	0.14285714285714285	0.5074999999999996	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.05	500	0.1605714285714286	0.14285714285714285	0.11428571428571428	0.2	0.07142857142857142	0.32857142857142857	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.1	500	0.08402857142857142	0.07142857142857142	0.05714285714285714	0.1	0.04285714285714286	0.1646428571428568	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.15000000000000002	500	0.06391428571428572	0.05714285714285714	0.05714285714285714	0.07142857142857142	0.04285714285714286	0.11428571428571428	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.2	500	0.04831428571428571	0.04285714285714286	0.04285714285714286	0.05714285714285714	0.02857142857142857	0.08571428571428572	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.25	500	0.04162857142857143	0.04285714285714286	0.04285714285714286	0.04285714285714286	0.02857142857142857	0.05714285714285714	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.30000000000000004	500	0.03462857142857142	0.02857142857142856	0.02857142857142856	0.04285714285714285	0.02857142857142856	0.05714285714285713	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.35000000000000003	500	0.02965714285714285	0.02857142857142857	0.02857142857142857	0.02857142857142857	0.01428571428571428	0.04285714285714286	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.4	500	0.02634285714285714	0.02857142857142856	0.02857142857142856	0.02857142857142856	0.01428571428571428	0.02857142857142856	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.45	500	0.02411428571428571	0.02857142857142857	0.01428571428571428	0.02857142857142857	0.01428571428571428	0.02857142857142857	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.5	500	0.02008571428571428	0.01428571428571428	0.01428571428571428	0.02857142857142857	0.01428571428571428	0.02857142857142857	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.55	500	0.01725714285714285	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.02857142857142857	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.6000000000000001	500	0.01494285714285714	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.02857142857142857	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.65	500	0.01442857142857143	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.7000000000000001	500	0.01431428571428571	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.75	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.8	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.8500000000000001	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Coastal_natural	targeted	0.9	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Coastal natural	Targeted removal
depth_natural	Interior_relict	random	0	500	0.5126571428571428	0.5142857142857142	0.4857142857142857	0.5428571428571428	0.42857142857142855	0.5857142857142857	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.05	500	0.4731142857142857	0.48571428571428577	0.4428571428571429	0.5	0.3571428571428572	0.5571428571428572	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.1	500	0.4218571428571428	0.42857142857142855	0.3857142857142857	0.45714285714285713	0.2857142857142857	0.5142857142857142	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.15000000000000002	500	0.38277142857142854	0.3857142857142857	0.34285714285714286	0.42857142857142855	0.21428571428571427	0.48571428571428565	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.2	500	0.33051428571428576	0.34285714285714286	0.28571428571428575	0.3857142857142858	0.17142857142857143	0.4428571428571429	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.25	500	0.29457142857142854	0.3	0.25357142857142856	0.34285714285714286	0.12857142857142856	0.41428571428571426	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.30000000000000004	500	0.24625714285714284	0.24285714285714283	0.18571428571428572	0.3	0.1	0.37142857142857144	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.35000000000000003	500	0.21425714285714284	0.2142857142857143	0.15714285714285714	0.2714285714285714	0.08571428571428572	0.34285714285714286	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.4	500	0.1769142857142857	0.1714285714285714	0.11428571428571428	0.22857142857142856	0.06392857142857145	0.3	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.45	500	0.14968571428571428	0.14285714285714285	0.1	0.2	0.05714285714285714	0.2714285714285714	Interior vs coastal natural	Interior relict	Random removal
