dataset	comparison_label	genus_clr_matrix	metadata_file	expected_group_a	expected_group_b	groups_found	n_samples	n_genera	n_subsample_per_group	n_boot	ridge_lambda	edge_density
depth_natural	Interior_relict vs Coastal_natural	/home/fjbalvino/Compare_mangroves/results/17_build_genus_level_network_matrices_20260622_221921/matrices/depth_natural_genus_clr_from_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/17_build_genus_level_network_matrices_20260622_221921/tables/depth_natural_genus_metadata_clean.tsv	Interior_relict	Coastal_natural	Coastal_natural;Interior_relict	63	70	13	500	0.1	0.02
interior_impaired	Interior_relict vs Coastal_impaired	/home/fjbalvino/Compare_mangroves/results/17_build_genus_level_network_matrices_20260622_221921/matrices/interior_impaired_genus_clr_from_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/17_build_genus_level_network_matrices_20260622_221921/tables/interior_impaired_genus_metadata_clean.tsv	Interior_relict	Coastal_impaired	Coastal_impaired;Interior_relict	59	64	9	500	0.1	0.02
