dataset	count_matrix	matrix_file	matrix_name	lookup_source_path	lookup_source_label	matrix_taxon	matrix_taxon_clean	source_path	source_label	phylum	class	order	family	genus	species	genus_clean	family_clean	genus_missing	family_missing	lookup_type	taxon_id_clean	species_clean	match_mode	taxon_id
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AM997418.1.1513	AM997418.1.1513	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Proteobacteria	Gammaproteobacteria	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78	NA	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	AM997418.1.1513
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AY584740.1.1231	AY584740.1.1231	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Chloroflexi	Dehalococcoidia	Dehalococcoidia	Dehalococcoidia	Dehalococcoidia	uncultured_bacterium	Dehalococcoidia	Dehalococcoidia	FALSE	FALSE	phyloseq	NA	uncultured_bacterium	clean_taxon_id	AY584740.1.1231
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	AY605137.1.1495	AY605137.1.1495	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	NA	Sediminispirochaeta	Spirochaetaceae	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	AY605137.1.1495
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	CP013099.3645030.3646539	CP013099.3645030.3646539	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Proteobacteria	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus_Tenderia	Candidatus_Tenderia	Candidatus_Tenderia	Tenderiaceae	FALSE	FALSE	phyloseq	NA	Candidatus_Tenderia	clean_taxon_id	CP013099.3645030.3646539
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	CP016268.790030.791574	CP016268.790030.791574	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	Woeseia_oceani	Woeseia	Woeseiaceae	FALSE	FALSE	phyloseq	NA	Woeseia_oceani	clean_taxon_id	CP016268.790030.791574
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ070825.1.1419	DQ070825.1.1419	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NA	NB1-j	NB1-j	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	DQ070825.1.1419
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ363780.1.954	DQ363780.1.954	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	uncultured_miscellaneous	Bathyarchaeia	Bathyarchaeia	FALSE	FALSE	phyloseq	NA	uncultured_miscellaneous	clean_taxon_id	DQ363780.1.954
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ431896.1.1372	DQ431896.1.1372	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Chloroflexi	Anaerolineae	SBR1031	SBR1031	SBR1031	uncultured_bacterium	SBR1031	SBR1031	FALSE	FALSE	phyloseq	NA	uncultured_bacterium	clean_taxon_id	DQ431896.1.1372
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ431899.1.1417	DQ431899.1.1417	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Gemmatimonadota	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11_terrestrial_group	NA	BD2-11_terrestrial_group	BD2-11_terrestrial_group	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	DQ431899.1.1417
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ641854.1.916	DQ641854.1.916	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae	Thermoplasmatales_archaeon	Nitrosopumilaceae	Nitrosopumilaceae	FALSE	FALSE	phyloseq	NA	Thermoplasmatales_archaeon	clean_taxon_id	DQ641854.1.916
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ811792.1.1512	DQ811792.1.1512	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	uncultured_delta	SAR324_clade_Marine_group_B_	SAR324_clade(Marine_group_B)	FALSE	FALSE	phyloseq	NA	uncultured_delta	clean_taxon_id	DQ811792.1.1512
