dataset	count_matrix	reason	matrix_taxon
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	EU488012.1.1496
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	EU283571.1.1333
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	KR825104.1.1480
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JF421166.1.1503
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	HF922320.1.1505
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	LN572475.1.1329
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	EU491603.1.1422
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	MG601395.1.1528
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	KF616626.1.1420
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JF344346.1.1503
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	KU578771.1.1356
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	EU287222.1.1531
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JX391720.1.1474
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	KJ817744.1.1481
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	EU592419.1.1485
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	KC009862.1.1289
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	DQ522941.1.1376
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	FM242440.1.1461
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JX240956.1.1475
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	KC009968.1.1238
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JQ716338.1.1491
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	EF157274.1.1422
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JF344544.1.1460
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	GQ850571.1.1477
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	EF602488.1.1422
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JN977382.1.1548
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JN457484.1.1393
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JN537239.1.1468
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	DQ811804.1.1523
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	HQ397466.1.1499
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	AB694414.1.1369
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	KM019077.1.1499
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JF344695.1.1458
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	FJ542954.1.1450
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JF421187.1.1490
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JX206507.1.1461
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	AB858645.1.1364
interior_impaired	interior_impaired_counts_common_top200.tsv	missing_or_unassigned_genus	JN830953.1.1424
